Generator,Max Capacity
GEN_512042_HINDUPUR_220_W,348.9
GEN_224414_ATHENADEMWE_400_5,335
GEN_414102_BARH-II_400_5,1260
GEN_314047_KPCL_400_1,231
GEN_314042_VISAPOWER_400_1,521.970000000001
GEN_184579_MIYAR_400_2,314
GEN_122226_BHABA2_220_4,650
GEN_184540_RATLE_400_2,369
GEN_474050_NORTHKARNPRA_400_3,660
GEN_524083_YERAMRS_400_2,800
GEN_364022_VINDH-IV-V_400_2,364
GEN_374038_KORADI-II_400_8,660
GEN_424118_TALCHER-III_400_2,660
GEN_164457_SURATG-4_400_7,660
GEN_544071_TUTICORN_400_2,500
GEN_542064_THENI2_230_6,229
GEN_542030_KALP-FBR2_230_1,500
GEN_184431_KANPUR_400_1,660
