zone.number,zone.name
10,CHANDIGARH
11,J&K
12,HIMACHAL
13,PUNJAB
14,HARYANA
15,DELHI
16,RSEB
17,UP
18,NR-ISTS
19,UTTRAKHAND
20,PAKISTAN
21,ASSAM
22,ARPRADESH
23,MEGHALAYA
24,NAGALAND
25,MANIPUR
26,MIZORAM
27,TRIPURA
28,BHUTAN
29,BANGLADESH
31,CHATTISGARH
32,DD
33,DNH
34,GOA
35,GUJARAT
36,MP
37,MAHARASTRA
41,BIHAR
42,ORISSA
44,W.BENGAL
45,CENTRAL
47,JHARKAND
49,SIKKIM
50,ANDHRA
51,ANDHRA
52,KARNATKA
53,KERALA
54,TAMILNAD
56,TN-WIND
57,PONDY
58,TELANGANA
59,KAWIND
60,APCGS&IPP
