node.number,load.type,status,region,zone,active.power.MW,reactive.power.MVAR,active.power.const.current.MW,reactive.power.const.current.MVAR,active.power.const.admittance.MW,reactive.power.const.admittance.MVAR,owner.number
17471,1,1,8,20,196.353,39.871,0,0,0,0,20
100008,1,1,1,10,108.703,22.073,0,0,0,0,59
100009,1,0,1,10,9.776,5.904,0,0,0,0,59
100010,1,0,1,10,7.079,4.3,0,0,0,0,59
100011,1,0,1,10,5.346,3.278,0,0,0,0,1
100012,1,0,1,10,5.001,3.026,0,0,0,0,1
100013,1,0,1,10,4.312,2.605,0,0,0,0,1
100014,1,0,1,10,10.52,6.387,0,0,0,0,1
100016,1,0,1,10,5.324,2.032,0,0,0,0,59
100017,1,0,1,10,2.904,1.065,0,0,0,0,59
100018,1,0,1,10,3.62,2.228,0,0,0,0,59
100019,1,0,1,10,7.591,4.563,0,0,0,0,59
100020,1,0,1,10,9.616,5.796,0,0,0,0,59
100021,1,0,1,10,17.839,10.728,0,0,0,0,59
100022,1,0,1,10,17.839,10.728,0,0,0,0,59
100023,1,0,1,10,12.272,7.399,0,0,0,0,59
100025,1,0,1,10,10.88,6.536,0,0,0,0,59
100026,1,0,1,10,10.88,6.536,0,0,0,0,59
100029,1,0,1,10,6,3.7,0,0,0,0,59
100031,1,0,1,10,8.237,4.941,0,0,0,0,59
100032,1,0,1,10,9.188,5.558,0,0,0,0,59
100033,1,0,1,10,10.033,6.073,0,0,0,0,59
100034,1,0,1,10,7.338,4.439,0,0,0,0,59
100035,1,0,1,10,13.791,8.262,0,0,0,0,59
100036,1,0,1,10,8.3,5.1,0,0,0,0,59
100038,1,0,1,10,6.985,4.202,0,0,0,0,59
100039,1,0,1,10,6.248,4.287,0,0,0,0,59
100040,1,0,1,10,7.847,4.791,0,0,0,0,59
100041,1,0,1,10,7.675,4.623,0,0,0,0,59
100042,1,0,1,10,12.59,7.565,0,0,0,0,59
100043,1,0,1,10,6.701,3.622,0,0,0,0,59
100044,1,0,1,10,7.071,4.287,0,0,0,0,59
100046,1,0,1,10,4.5,2.8,0,0,0,0,59
100047,1,0,1,10,4.5,2.8,0,0,0,0,59
100062,1,0,1,10,7.826,4.722,0,0,0,0,59
100065,1,0,1,10,5,3.1,0,0,0,0,59
100067,1,0,1,10,5.302,3.204,0,0,0,0,59
100068,1,0,1,10,4.5,2.8,0,0,0,0,59
100069,1,0,1,10,7.903,4.718,0,0,0,0,59
100070,1,0,1,10,8.299,5.007,0,0,0,0,59
100071,1,0,1,10,12.349,7.51,0,0,0,0,59
100075,1,0,1,10,7.158,4.287,0,0,0,0,59
100076,1,0,1,10,7.416,4.455,0,0,0,0,59
100077,1,0,1,10,6.64,4.034,0,0,0,0,59
100078,1,0,1,10,6.882,4.708,0,0,0,0,59
100079,1,0,1,10,3.5,2.2,0,0,0,0,59
100080,1,0,1,10,5,3.1,0,0,0,0,59
100081,1,0,1,10,5,3.1,0,0,0,0,59
100085,1,0,1,10,15,9.3,0,0,0,0,59
100093,1,0,1,10,2.453,1.494,0,0,0,0,59
