node.from.number,node.to.number,id,status,resistance.pu,reactance.pu,rating.MW,overload.rating.MW
132256,13099,1,1,0,0.156,80,120
132256,13099,2,1,0,0.156,80,120
132256,13099,3,1,0,0.156,80,120
13244,136044,1,1,1e-05,0.15,100,120
13244,136044,2,1,0,0.15,100,120
102255,100008,1,1,0,0.125,100,0
102255,100008,2,1,0,0.125,100,0
102255,100008,3,0,0,0.125,100,0
106058,100009,1,0,0,0.625,16,0
106058,100010,1,0,0,0.625,16,0
106055,100011,1,0,0,1.004,10,0
106055,100012,1,0,0,0.954,10,0
106055,100013,1,0,0,1.003,10,0
106055,100014,1,0,0,0.625,16,0
106056,100016,1,0,0,0.987,10,0
106056,100017,1,0,0,0.625,16,0
106061,100018,1,0,0,0.946,10,0
106060,100019,1,0,0,0.589,16,0
106060,100020,1,0,0,0.578,16,0
182207,100020,1,0,0,0.125,100,0
106059,100021,1,0,0,0.638,16,0
106059,100022,1,0,0,0.631,16,0
106059,100023,1,0,0,0.909,10,0
106059,100025,1,0,0,1.006,10.5,0
106059,100026,1,0,0,1.036,10,0
106091,100029,1,0,0,0.35,30,0
106051,100031,1,0,0,0.928,10,0
106051,100032,1,0,0,0.986,10,0
106051,100033,1,0,0,1,10,0
106050,100034,1,0,0,1.069,10,0
106050,100035,1,0,0,0.65,16,0
106050,100036,1,0,0,0.981,10,0
106052,100038,1,0,0,1.012,10,0
106052,100039,1,0,0,0.933,10,0
106063,100040,1,0,0,0.911,10,0
106063,100041,1,0,0,0.911,10,0
106063,100042,1,0,0,0.620625,16,0
106053,100043,1,0,0,0.676,16,0
106053,100044,1,0,0,0.665,16,0
106045,100046,1,0,0,0.625,16,0
106048,100047,1,0,0,0.625,16,0
106061,100062,1,0,0,0.963,10,0
106049,100065,1,0,0,0.625,16,0
106066,100067,1,0,0,0.35,30,0
106045,100068,1,0,0,0.625,16,0
106057,100069,1,0,0,0.93658,10,0
106057,100070,1,0,0,0.95474,10,0
100071,106057,1,0,0,0.608,16,0
106096,100075,2,0,0,1.015,10,0
106096,100076,1,0,0,0.825,10,0
106096,100077,1,0,0,1.96,10,0
106061,100078,1,0,0,0.625,16,0
106048,100079,1,0,0,0.625,16,0
106051,100080,1,0,0,1,10,0
106052,100081,1,0,0,0.933,10,0
100085,106095,1,0,0,0.625,16,0
106056,100093,1,0,0,0.987,10,0
106051,100098,1,0,0,0.928,10,0
106051,100099,1,0,0,0.928,10,0
106054,103072,1,0,0,1.96,10,0
106054,103073,1,1,0,0.625,20,0
106054,103074,1,1,0,0.462,16,0
112238,111101,1,1,0,0.125,160,0
112238,111101,2,1,0,0.125,160,0
112203,111102,1,0,0,0.078128,160,0
112203,111102,2,0,0,0.078125,160,0
112200,111106,1,1,0,0.0832,150,0
112200,111106,2,1,0,0.0832,150,0
112200,111106,3,1,0,0.0832,150,0
112237,111108,1,1,0,0.052,240,0
112205,111111,1,1,0,0.078125,160,0
112205,111111,2,1,0,0.078125,160,0
112233,111118,1,0,0.00624,0.079375,160,100
112233,111120,1,0,0.00624,0.079375,160,100
111122,112241,1,1,0.00312,0.079362,160,200
111122,112241,2,1,0.00312,0.079362,160,200
112224,111123,1,1,1e-04,0.039,320,0
112202,111129,1,1,0,0.0834,150,0
112202,111129,2,1,0,0.0834,150,0
112202,111129,3,1,0,0.0834,150,0
112204,111137,1,1,1e-05,0.02232,560,0
112236,111140,1,1,1e-05,0.039,320,0
184900,112201,1,1,0.00198,0.03968,315,0
184900,112201,2,1,0.00198,0.03968,315,0
184900,112201,3,1,0.00198,0.03968,315,0
184900,112201,4,1,0.00198,0.03968,315,0
184422,112235,1,1,0.00198,0.03968,315,0
184422,112235,2,1,0.00198,0.03968,315,0
184422,112235,3,1,0.00198,0.03968,315,0
