node.number,node.name,kV,bus.type,region.number,zone.number,owner.number,voltage.mag.pu,voltage.angle.deg
13099,MOHALSPLT,66,1,1,10,51,1.0561,-27.2898
13244,AMLOH,220,1,1,13,51,1.03906,-17.376
17471,PAKISTANDC,400,1,8,20,20,1.00941,-18.4271
100008,KISHENGR,66,1,1,10,59,1.06181,-28.4174
100009,SEC-47T2,11,4,1,10,59,1,0
100010,SEC-47T1,11,4,1,10,59,1,0
100011,INDPH1T1,11,4,1,10,1,1,0
100012,INDPH1T2,11,4,1,10,1,1,0
100013,INDPH1T3,11,4,1,10,1,1,0
100014,INDPH1T4,11,4,1,10,1,1,0
100016,INPHIIT2,11,4,1,10,59,1,0
100017,INPHIIT3,11,4,1,10,59,1,0
100018,ITPRKT1,11,4,1,10,59,1,0
100019,SEC-56T1,11,4,1,10,59,1,0
100020,SEC-56T2,11,4,1,10,59,1,0
100021,SEC-52T5,11,4,1,10,59,1,0
100022,SEC-52T4,11,4,1,10,59,1,0
100023,SEC-52T3,11,4,1,10,59,1,0
100025,SEC-52T2,11,4,1,10,59,1,0
100026,SEC-52T1,11,4,1,10,59,1,0
100029,SEC-52T6,11,4,1,10,59,1,0
100031,SEC-12T1,11,4,1,10,59,1,0
100032,SEC-12T2,11,4,1,10,59,1,0
100033,SEC-12T3,11,4,1,10,59,1,0
100034,SEC-39T1,11,4,1,10,59,1,0
100035,SEC-39T2,11,4,1,10,59,1,0
100036,SEC-39T3,11,4,1,10,59,1,0
100038,SEC-01T1,11,4,1,10,59,1,0
100039,SEC-01T2,11,4,1,10,59,1,0
100040,SEC-18T1,11,4,1,10,59,1,0
100041,SEC-18T2,11,4,1,10,59,1,0
100042,SEC-18T3,11,4,1,10,59,1,0
100043,MANIMJR1,11,4,1,10,59,1,0
100044,MANIMJR2,11,4,1,10,59,1,0
100046,RAIPURK,11,4,1,10,59,1,0
100047,SRANGPR,11,4,1,10,59,1,0
100062,ITPRKT2,11,4,1,10,59,1,0
100065,SEC-17,11,4,1,10,59,1,0
100067,SEC-34T1,11,4,1,10,59,1,0
100068,RAIPRKLN,11,4,1,10,59,1,0
100069,SEC32T1,11,4,1,10,59,1,0
100070,SEC32T2,11,4,1,10,59,1,0
100071,SEC-32T3,11,4,1,10,59,1,0
100075,SEC-28T4,11,4,1,10,59,1,0
100076,SEC-28T5,11,4,1,10,59,1,0
100077,SEC-28T6,11,4,1,10,59,1,0
100078,ITPRKT3,11,4,1,10,59,1,0
100079,SARNGPR,11,4,1,10,59,1,0
100080,SEC-12T4,11,4,1,10,59,1,0
100081,CIVILT3,11,4,1,10,59,1,0
100085,L&T11,11,4,1,10,59,1,0
100093,INPH2T1,11,4,1,10,59,1,0
100098,SEC-12T4,11,4,1,10,59,1,0
100099,SEC-12T5,11,4,1,10,59,1,0
102255,MANIMJR1,220,1,1,10,59,1.01272,-23.0023
103072,SEC-28T1,33,4,1,10,59,1,0
103073,SEC-28T2,33,1,1,10,59,1.06514,-28.8805
103074,SEC-28T3,33,1,1,10,59,1.11673,-28.8805
106045,RAIPRKLN,66,4,1,10,59,1,0
106048,SARANGPR,66,4,1,10,59,1,0
106049,SEC-17,66,4,1,10,59,1,0
106050,CHA_S39,66,1,1,10,59,1.04869,-27.8811
106051,CHA_S12,66,1,1,10,59,1.0487,-27.8815
106052,SEC-1,66,4,1,10,59,1,0
106053,MANIMJR2,66,4,1,10,59,1,0
106054,CHA_S28,66,1,1,10,59,1.06514,-28.8805
106055,IA_PH_I,66,1,1,10,59,1.07238,-28.9608
106056,IA_PH_II,66,1,1,10,59,1.0732,-28.9948
106057,CHA_S32,66,1,1,10,59,1.07288,-28.9778
106058,CHA_S47,66,1,1,10,59,1.08066,-29.1963
106059,CHA_S52,66,1,1,10,59,1.08064,-29.196
106060,CHA_S56,66,1,1,10,59,1.06494,-29.1239
106061,IT_PARK,66,1,1,10,59,1.06181,-28.4175
106063,CHA_S18,66,1,1,10,59,1.06183,-28.4179
106066,SEC-34,66,4,1,10,59,1,0
106090,INPH2SPT,66,1,1,10,59,1.07254,-28.9662
106091,SEC52SPL,66,1,1,10,59,1.08064,-29.196
106095,INPH1SPT,66,1,1,10,59,1.07238,-28.9608
106096,SEC28SPT,66,1,1,10,59,1.06514,-28.8805
106097,SEC1SPT,66,4,1,10,59,1,0
111006,KATHUA1,132,1,1,11,58,0.98708,-32.81
111101,MIRBAZAR,132,1,1,11,58,0.9527,-35.4679
111102,RAMBAN,132,4,1,11,58,1,0
111103,SHREE,132,1,1,11,58,0.89547,-44.2443
111104,LOWERJHELUM1,132,2,1,11,609,0.90688,-43.3969
111105,PATTAN1,132,1,1,11,58,0.90329,-43.0004
111106,ZAINAKOT,132,1,1,11,58,0.94242,-38.7439
111107,CHAMASHEHI,132,1,1,11,58,0.94388,-38.6784
