node.number,id,active.power.MW,reactive.power.MVAR,max.reactive.power.MVAR,min.reactive.power.MVAR,voltage.setpoint.pu,other.bus.reg,MVA,impedance1,impedance2,xfrmr.impedance1,xfrmr.impedance2,xfrmr.turns.ratio,status,pct.MVAR.to.hold.voltage,max.capacity.MW,min.output.MW,owner.number1,owner.fraction1,owner.number2,owner.fraction2,wind.control.mode,wind.power.factor
111104,1,14,6.152,6.152,-12.021,1,0,41.2,0,0.2,0,0.145,1.025,1,100,35,0,22,1,NA,NA,NA,NA
111104,2,14,6.152,6.152,-12.021,1,0,41.2,0,0.2,0,0.145,1.025,1,100,35,0,22,1,NA,NA,NA,NA
111104,3,14,6.152,6.152,-12.021,1,0,41.2,0,0.2,0,0.145,1.025,1,100,35,0,22,1,NA,NA,NA,NA
111108,1,1.84,0.807,0.807,-1.567,1,0,5.4,0,0.17,0,0.145,1.025,0,100,4.6,0,22,1,NA,NA,NA,NA
111108,2,1.84,0.807,0.807,-1.567,1,0,5.4,0,0.17,0,0.145,1.025,0,100,4.6,0,22,1,NA,NA,NA,NA
111108,3,1.84,0.807,0.807,-1.567,1,0,5.4,0,0.17,0,0.145,1.025,0,100,4.6,0,22,1,NA,NA,NA,NA
111108,4,1.84,0.807,0.807,-1.567,1,0,5.4,0,0.17,0,0.145,1.025,0,100,4.6,0,22,1,NA,NA,NA,NA
111108,5,1.84,0.807,0.807,-1.567,1,0,5.4,0,0.17,0,0.145,1.025,0,100,4.6,0,22,1,NA,NA,NA,NA
111119,1,18.8,69.874,5.5,-2.25,1,0,13.5,0,0.2,0,0.145,1.025,0,100,47,0,22,1,NA,NA,NA,NA
111119,2,18.8,69.874,5.5,-2.25,1,0,13.5,0,0.2,0,0.145,1.025,0,100,47,0,22,1,NA,NA,NA,NA
111119,3,14.2,17.75,17.75,-8.825,1,0,41.8,0,0.2,0,0.145,1.025,1,100,35.5,0,22,1,NA,NA,NA,NA
111119,4,14.2,17.75,17.75,-8.825,1,0,41.8,0,0.2,0,0.145,1.025,1,100,35.5,0,22,1,NA,NA,NA,NA
111119,5,14.2,17.75,17.75,-8.825,1,0,41.8,0,0.2,0,0.145,1.025,1,100,35.5,0,22,1,NA,NA,NA,NA
111129,1,9.989,11.233,11.233,-9.617,1,0,29.4,0,0.15,0,0.145,1.025,1,100,25,0,24,1,NA,NA,NA,NA
111129,2,9.989,11.233,11.233,-9.617,1,0,29.4,0,0.15,0,0.145,1.025,1,100,25,0,24,1,NA,NA,NA,NA
111129,3,9.989,11.233,11.233,-9.617,1,0,29.4,0,0.15,0,0.145,1.025,1,100,25,0,24,1,NA,NA,NA,NA
111129,4,9.989,11.233,11.233,-9.617,1,0,29.4,0,0.15,0,0.145,1.025,1,100,25,0,24,1,NA,NA,NA,NA
111129,5,9.989,11.233,11.233,-9.617,1,0,29.4,0,0.15,0,0.145,1.025,1,100,25,0,24,1,NA,NA,NA,NA
111129,6,9.989,11.233,11.233,-9.617,1,0,29.4,0,0.15,0,0.145,1.025,1,100,25,0,24,1,NA,NA,NA,NA
