"110000_JALANDHAR_66"
"110001_SANGRUR_66"
"110002_JAMALPUR_66"
"110003_BUTARI_66"
"110004_DANDHARIKAL1_66"
"110005_SAHNEWAL_66"
"110006_GOBINDGARH1_66"
"110007_AMLOHROAD_66"
"110008_VERPAL_66"
"110009_BAHADR_66"
"110010_KOTLAJUNGAN_66"
"110011_KARTARPUR_66"
"110012_DERABASSI_66"
"110013_HUMBRAN1_66"
"110014_CIVILINE_66"
"110015_JAGRAON_66"
"110016_GHUBAYA_66"
"110017_MANSA_66"
"110018_SUNAM_66"
"110019_DHURI_66"
"110020_FATEHGARH_66"
"110021_KHARAR_66"
"110022_FEROZPUR_RD_66"
"110023_BATLA_66"
"110024_BOTIANWALA_66"
"110025_KOHARA_66"
"110026_PATTI_66"
"110027_DASUYA_66"
"110028_RAJPURA_66"
"110029_JAMSHER_66"
"110030_HIMMATPURA_66"
"110031_GOBINDGARH2_66"
"110032_LALTONKA_66"
"110033_BAZAKHANA_66"
"110034_PATRAN_66"
"110035_ABLOWAL_66"
"110036_MALERKOTLA_66"
"110037_AMLOH_66"
"110038_RAJLA_66"
"110039_BARNALA_66"
"110040_BHATINDA_66"
"110041_BRAHPURANA_66"
"110042_KHASA_66"
"110043_MOHLI_66"
"110044_MAJITHA6_66"
"110045_K.S.MAL_66"
"110046_TIBBER_66"
"110047_AJITWAL_66"
"110048_MOHALI-II_66"
"110049_DHANDARIKAL2_66"
"110050_SADIQ_66"
"110051_RASHIANA_66"
"110052_MALOUT_66"
"110053_PAKHOWAL_66"
"110054_NABHA_66"
"110055_JHUNIR_66"
"110056_LALRU_66"
"110057_ALGAON_66"
"110058_KAPURTHALA_66"
"110059_REHANAJATTAN_66"
"110060_GOBINDGARH-3_66"
"110061_CHOLASAHIB_66"
"110062_MASTEWAL_66"
"110063_MEHALKALAN_66"
"110064_DORAHA_66"
"110065_IKOLAHA_66"
"110066_PASSIANA_66"
"110067_GAUNSGARH_66"
"110068_BASSIPATHNA_66"
"110069_KAKRALA_66"
"110070_UDHOKE_66"
"110071_GHULAL66_66"
"110072_DHANAULA_66"
"110073_BADSHAHPUR_66"
"110074_BANGAN_66"
"110075_CHOGAWAN_66"
"110076_BANUR_66"
"110077_LEHRAMOHABBT_66"
"110078_KOTKAPURA_66"
"110079_NOORMEHAL_66"
"110080_CHAJLI_66"
"111000_UBDCPH-1_132"
"111001_GURDASPUR_132"
"111002_DHARIWAL_132"
"111003_SHRIHARGOBIN_132"
"111004_PIMS_132"
"111005_ASRON_132"
"111006_JADLA_132"
"111007_BANGA_132"
"111008_PHAGWARA_132"
"111009_MUKERIAN-4_132"
"111010_FEROZPUR21_132"
"111011_CHAMKAUR_132"
"111012_MAHILPUR21_132"
"111013_GHULAL_132"
"111014_GHOLIA_132"
"111015_CHOHAL_132"
"111016_BHOGPUR_132"
"111017_MUKERI-3_132"
"111018_PATHANKOT_132"
