Max Capacity,Status,Generator
35,1,GEN_111104_LOWERJHELUM1_132_1
35,1,GEN_111104_LOWERJHELUM1_132_2
35,1,GEN_111104_LOWERJHELUM1_132_3
4.6,0,GEN_111108_UDAMPUR1_132_1
4.6,0,GEN_111108_UDAMPUR1_132_2
4.6,0,GEN_111108_UDAMPUR1_132_3
4.6,0,GEN_111108_UDAMPUR1_132_4
4.6,0,GEN_111108_UDAMPUR1_132_5
47,0,GEN_111119_UPPERSIND_132_1
47,0,GEN_111119_UPPERSIND_132_2
35.5,1,GEN_111119_UPPERSIND_132_3
35.5,1,GEN_111119_UPPERSIND_132_4
35.5,1,GEN_111119_UPPERSIND_132_5
25,1,GEN_111129_PAMPORE1_132_1
25,1,GEN_111129_PAMPORE1_132_2
25,1,GEN_111129_PAMPORE1_132_3
25,1,GEN_111129_PAMPORE1_132_4
25,1,GEN_111129_PAMPORE1_132_5
25,1,GEN_111129_PAMPORE1_132_6
25,1,GEN_111129_PAMPORE1_132_7
110,1,GEN_112208_KISHANNGA-GE_220_1
110,1,GEN_112208_KISHANNGA-GE_220_2
110,1,GEN_112208_KISHANNGA-GE_220_3
150,1,GEN_114401_BAGLIHAR4_400_1
150,1,GEN_114401_BAGLIHAR4_400_2
150,1,GEN_114401_BAGLIHAR4_400_3
150,1,GEN_114401_BAGLIHAR4_400_4
150,1,GEN_114401_BAGLIHAR4_400_5
150,1,GEN_114401_BAGLIHAR4_400_6
4.5,1,GEN_121102_BAJAURA1_132_TH
43,1,GEN_121104_MALANA1_132_1
43,1,GEN_121104_MALANA1_132_2
10.5,1,GEN_121105_KANGRA1_132_GJ
12,1,GEN_121105_KANGRA1_132_KH
15,1,GEN_121109_BASSI1_132_1
15,1,GEN_121109_BASSI1_132_2
15,1,GEN_121109_BASSI1_132_3
15,1,GEN_121109_BASSI1_132_4
30,1,GEN_121112_GIRI1_132_1
30,1,GEN_121112_GIRI1_132_2
12,1,GEN_121115_PALAMPUR_132_BN
6,1,GEN_121115_PALAMPUR_132_BW
42,1,GEN_121119_LARJI1_132_1
42,1,GEN_121119_LARJI1_132_2
42,1,GEN_121119_LARJI1_132_3
36,1,GEN_121128_CHANJU-1_220_1
30,1,GEN_121140_UHL-3_132_1
30,1,GEN_121140_UHL-3_132_2
30,1,GEN_121140_UHL-3_132_3
35,1,GEN_122202_BUDHIL_220_1
35,1,GEN_122202_BUDHIL_220_2
65,1,GEN_122207_KASANG_220_1
65,1,GEN_122207_KASANG_220_2
65,1,GEN_122207_KASANG_220_3
50,1,GEN_122211_TIDONG_220_1
50,1,GEN_122211_TIDONG_220_2
30,1,GEN_122226_BHABA2_220_1
30,1,GEN_122226_BHABA2_220_2
30,1,GEN_122226_BHABA2_220_3
30,1,GEN_122226_BHABA2_220_4
100,1,GEN_124402_BASPA4_400_1
100,1,GEN_124402_BASPA4_400_2
100,1,GEN_124402_BASPA4_400_3
150,1,GEN_124403_SHANGTONG_400_1
150,1,GEN_124403_SHANGTONG_400_2
150,1,GEN_124403_SHANGTONG_400_3
120,0,GEN_124403_SHANGTONG_400_4
90,1,GEN_124404_CHANGO-YANTG_400_1
90,1,GEN_124404_CHANGO-YANTG_400_2
90,1,GEN_124404_CHANGO-YANTG_400_3
50,1,GEN_124903_SAINJ_400_1
50,1,GEN_124903_SAINJ_400_2
37,1,GEN_124910_SAWRA-KUDDU_400_1
37,1,GEN_124910_SAWRA-KUDDU_400_2
37,1,GEN_124910_SAWRA-KUDDU_400_3
15,1,GEN_131100_UBDCPH-1_132_1
16.5,1,GEN_131100_UBDCPH-1_132_2
19.5,1,GEN_131110_MUKERIAN-4_132_1
19.5,1,GEN_131110_MUKERIAN-4_132_2
19.5,1,GEN_131110_MUKERIAN-4_132_3
19.5,1,GEN_131118_MUKERI-3_132_1
19.5,1,GEN_131118_MUKERI-3_132_2
19.5,1,GEN_131118_MUKERI-3_132_3
33.5,1,GEN_131149_ANANDGARH-2_132_1
33.5,1,GEN_131149_ANANDGARH-2_132_2
33.5,1,GEN_131149_ANANDGARH-2_132_3
33.5,1,GEN_131149_ANANDGARH-2_132_4
15,1,GEN_131170_UBDCPH-3_132_1
16.5,1,GEN_131170_UBDCPH-3_132_2
15,1,GEN_131171_UBDCPH-2_132_1
16.5,1,GEN_131171_UBDCPH-2_132_2
15,1,GEN_131189_MUKERI-1_132_1
15,1,GEN_131189_MUKERI-1_132_2
15,1,GEN_131189_MUKERI-1_132_3
15,1,GEN_131190_MUKERI-2_132_1
15,1,GEN_131190_MUKERI-2_132_2
15,1,GEN_131190_MUKERI-2_132_3
15,1,GEN_131192_JOGINDERNAGA_132_1
15,1,GEN_131192_JOGINDERNAGA_132_2
15,1,GEN_131192_JOGINDERNAGA_132_3
15,1,GEN_131192_JOGINDERNAGA_132_4
50,1,GEN_131192_JOGINDERNAGA_132_5
33.5,1,GEN_131197_ANANDGARH-1_132_1
33.5,1,GEN_131197_ANANDGARH-1_132_2
70,1,GEN_131271_SHAPUR-KHAND_132_1
70,1,GEN_131271_SHAPUR-KHAND_132_2
70,1,GEN_131271_SHAPUR-KHAND_132_3
70,1,GEN_131271_SHAPUR-KHAND_132_4
210,1,GEN_132204_LEHRAMOHABBA_220_1
210,1,GEN_132204_LEHRAMOHABBA_220_2
250,1,GEN_132204_LEHRAMOHABBA_220_3
250,1,GEN_132204_LEHRAMOHABBA_220_4
150,1,GEN_132221_RSD_220_1
150,1,GEN_132221_RSD_220_2
150,1,GEN_132221_RSD_220_3
150,1,GEN_132221_RSD_220_4
210,1,GEN_132232_ROPAR_220_1
210,1,GEN_132232_ROPAR_220_2
210,1,GEN_132232_ROPAR_220_3
210,1,GEN_132232_ROPAR_220_4
210,1,GEN_132232_ROPAR_220_5
