Max Capacity,Status,Generator
210,1,GEN_132232_ROPAR_220_6
110,1,GEN_132247_BATHINDA_220_1
110,1,GEN_132247_BATHINDA_220_2
110,1,GEN_132247_BATHINDA_220_3
110,1,GEN_132247_BATHINDA_220_4
270,1,GEN_132270_GOINDWAL_220_1
270,1,GEN_132270_GOINDWAL_220_2
660,1,GEN_134401_TALWANDISABO_400_1
660,1,GEN_134401_TALWANDISABO_400_2
660,1,GEN_134401_TALWANDISABO_400_3
700,1,GEN_134406_RAJPURA_TH_400_1
700,1,GEN_134406_RAJPURA_TH_400_2
110,1,GEN_142211_PANIPAT_OLD_220_1
110,1,GEN_142211_PANIPAT_OLD_220_2
110,1,GEN_142211_PANIPAT_OLD_220_3
110,1,GEN_142211_PANIPAT_OLD_220_4
300,1,GEN_142235_YAMUNA2_220_1
300,1,GEN_142235_YAMUNA2_220_2
210,1,GEN_142929_PANIPAT_NEW_220_5
210,1,GEN_142929_PANIPAT_NEW_220_6
250,1,GEN_142929_PANIPAT_NEW_220_7
250,1,GEN_142929_PANIPAT_NEW_220_8
660,0,GEN_144035_YAMUNANAGAR_400_1
600,1,GEN_144401_KHEDAR_400_1
600,1,GEN_144401_KHEDAR_400_2
660,1,GEN_144404_JHAJAR_N_400_1
660,1,GEN_144404_JHAJAR_N_400_2
121.2,1,GEN_152203_PRAGATI_BDR_220_G1
250,1,GEN_152207_PRAGATI_MND_220_1
250,1,GEN_152207_PRAGATI_MND_220_2
250,1,GEN_152207_PRAGATI_MND_220_3
104.6,1,GEN_152207_PRAGATI_MND_220_G2
121.2,1,GEN_152207_PRAGATI_MND_220_S1
36,1,GEN_152217_ROHINI_220_1
36,1,GEN_152217_ROHINI_220_2
36,1,GEN_152217_ROHINI_220_3
67.5,1,GEN_153006_RAJGHATG_33_1
67.5,1,GEN_153006_RAJGHATG_33_2
343,1,GEN_154426_BAWANA-G_400_G1
343,1,GEN_154426_BAWANA-G_400_G2
343,0,GEN_154426_BAWANA-G_400_G3
343,0,GEN_154426_BAWANA-G_400_G4
250,0,GEN_154426_BAWANA-G_400_S1
250,0,GEN_154426_BAWANA-G_400_S2
30,0,GEN_156001_DEL_GAS6_66_G1
30,0,GEN_156001_DEL_GAS6_66_G2
30,0,GEN_156001_DEL_GAS6_66_G3
30,0,GEN_156001_DEL_GAS6_66_G4
30,0,GEN_156001_DEL_GAS6_66_G5
30,1,GEN_156001_DEL_GAS6_66_G6
34,1,GEN_156001_DEL_GAS6_66_S1
34,1,GEN_156001_DEL_GAS6_66_S2
34,1,GEN_156001_DEL_GAS6_66_S3
41.16,1,GEN_161110_JAISALMER_132_W1
35.5,1,GEN_161117_RAMGARH21_132_1
37.5,1,GEN_161117_RAMGARH21_132_2
37.5,1,GEN_161117_RAMGARH21_132_3
35.5,0,GEN_161117_RAMGARH21_132_G1
37.5,0,GEN_161117_RAMGARH21_132_G2
37.5,0,GEN_161117_RAMGARH21_132_G3
5,1,GEN_161117_RAMGARH21_132_S1
43,1,GEN_161122_RPS1_132_1
43,1,GEN_161122_RPS1_132_2
43,1,GEN_161122_RPS1_132_3
43,1,GEN_161122_RPS1_132_4
50,1,GEN_161160_MAHI-I_132_1
49.5,1,GEN_161623_JS1_132_1
49.5,1,GEN_161623_JS1_132_2
49.5,1,GEN_161623_JS1_132_3
45,1,GEN_161685_MAHI-II_132_1
45,1,GEN_161685_MAHI-II_132_2
2.1,1,GEN_161762_PS-5_132_W1
55,1,GEN_161764_PS2-21_132_S1
10,1,GEN_161764_PS2-21_132_S2
119.9,1,GEN_161765_PS3-1_132_S1
8.1,1,GEN_161765_PS3-1_132_S2
61,1,GEN_161766_PSNO1_132_S2
150,0,GEN_161863_TEMDRIA_132_W1
5,1,GEN_162000_AAU-SW_220_S1
40,1,GEN_162202_NAGAUR-S_220_S1
200,1,GEN_162204_RAPS_A2_220_1
200,1,GEN_162204_RAPS_A2_220_2
300,1,GEN_162216_BARMER_220_1
300,0,GEN_162216_BARMER_220_2
300,0,GEN_162216_BARMER_220_3
100,1,GEN_162216_BARMER_220_V1
49.6,1,GEN_162216_BARMER_220_W1
10,1,GEN_162217_BHILWA-2_220_S1
5,1,GEN_162217_BHILWA-2_220_S2
102,1,GEN_162217_BHILWA-2_220_V1
125,1,GEN_162218_GIRALTPS_220_1
125,1,GEN_162218_GIRALTPS_220_2
110,1,GEN_162220_DHOLPU-4_220_1
110,1,GEN_162220_DHOLPU-4_220_2
110,1,GEN_162220_DHOLPU-4_220_3
110,0,GEN_162220_DHOLPU-4_220_G1
110,0,GEN_162220_DHOLPU-4_220_G2
110,0,GEN_162220_DHOLPU-4_220_G3
300,1,GEN_162226_MADA-SUZ_220_1
300,0,GEN_162226_MADA-SUZ_220_2
300,0,GEN_162226_MADA-SUZ_220_3
221,1,GEN_162226_MADA-SUZ_220_W1
5,1,GEN_162231_BALOTRA_220_S1
5,1,GEN_162236_NEEMR-RS_220_S2
300,1,GEN_162237_AMARSAGAR-W_220_1
300,0,GEN_162237_AMARSAGAR-W_220_2
300,0,GEN_162237_AMARSAGAR-W_220_3
818,1,GEN_162237_AMARSAGAR-W_220_W1
300,1,GEN_162238_TINWARI-WS_220_1
300,0,GEN_162238_TINWARI-WS_220_2
300,0,GEN_162238_TINWARI-WS_220_3
15,1,GEN_162238_TINWARI-WS_220_S1
174,1,GEN_162238_TINWARI-WS_220_W1
300,1,GEN_162239_PHALODI_220_1
300,0,GEN_162239_PHALODI_220_2
300,0,GEN_162239_PHALODI_220_3
18,1,GEN_162240_BHOPALGA_220_V1
27.5,1,GEN_162240_BHOPALGA_220_W1
59.4,1,GEN_162240_BHOPALGA_220_W2
5,1,GEN_162241_KHINVSAR_220_S1
125,1,GEN_162242_BARSINGS_220_1
125,1,GEN_162242_BARSINGS_220_2
250,1,GEN_162257_SURATGARH-42_220_1
250,1,GEN_162257_SURATGARH-42_220_2
440,1,GEN_162260_BANSWARA-W_220_V1
110,1,GEN_162261_KTPS_220_1
110,1,GEN_162261_KTPS_220_2
210,1,GEN_162261_KTPS_220_3
210,1,GEN_162261_KTPS_220_4
210,1,GEN_162261_KTPS_220_5
195,1,GEN_162261_KTPS_220_6
195,1,GEN_162261_KTPS_220_7
130,1,GEN_162262_BADISID-S_220_S1
70,1,GEN_162262_BADISID-S_220_S2
40,1,GEN_162266_BALI_220_S1
5,1,GEN_162277_GULABPUR_220_S1
135,1,GEN_162278_RAJWEST_220_7
135,1,GEN_162278_RAJWEST_220_8
300,1,GEN_162280_AKAL-2_220_1
300,0,GEN_162280_AKAL-2_220_2
300,0,GEN_162280_AKAL-2_220_3
79,1,GEN_162280_AKAL-2_220_V1
1522,1,GEN_162280_AKAL-2_220_W1
300,1,GEN_162282_BAP_2_220_1
300,0,GEN_162282_BAP_2_220_2
300,0,GEN_162282_BAP_2_220_3
201,1,GEN_162282_BAP_2_220_S1
20,1,GEN_162282_BAP_2_220_S2
300,1,GEN_162283_BHU-ENER_220_1
300,0,GEN_162283_BHU-ENER_220_2
300,0,GEN_162283_BHU-ENER_220_3
200,0,GEN_162283_BHU-ENER_220_W1
99,1,GEN_162284_BARLI_2_220_W1
75,1,GEN_162285_BHADLA-S_220_S1
1430,1,GEN_162285_BHADLA-S_220_S2
300,1,GEN_162293_DECHU_220_1
300,0,GEN_162293_DECHU_220_2
300,0,GEN_162293_DECHU_220_3
140,1,GEN_162293_DECHU_220_S1
160,1,GEN_162293_DECHU_220_S2
150,1,GEN_162293_DECHU_220_V1
18.5,1,GEN_162295_GAJNER_220_S1
17.5,1,GEN_162295_GAJNER_220_S2
140,0,GEN_162302_KETUKALA_220_W1
300,1,GEN_162314_RAMGARH_220_1
300,0,GEN_162314_RAMGARH_220_2
300,0,GEN_162314_RAMGARH_220_3
50,1,GEN_162314_RAMGARH_220_4
110,1,GEN_162314_RAMGARH_220_5
50,0,GEN_162314_RAMGARH_220_G4
110,0,GEN_162314_RAMGARH_220_G5
110,0,GEN_162314_RAMGARH_220_G6
50,0,GEN_162314_RAMGARH_220_G7
135,0,GEN_162321_VSLP_220_1
1000,1,GEN_162359_BHADLA-SP_220_S2
3000,0,GEN_162360_FATEHGARH_220_SF
3000,0,GEN_162361_PAREWAR_220_SF
101,1,GEN_162379_BHAWAD-S_220_S1
10,1,GEN_162390_BAITHWARA-W_220_S1
10,1,GEN_162390_BAITHWARA-W_220_S2
30,1,GEN_162390_BAITHWARA-W_220_W1
20,1,GEN_162395_SANWREEJ-WS_220_S1
60,1,GEN_162395_SANWREEJ-WS_220_V1
71.64,1,GEN_162654_KOLAYAT-S_220_S1
29.61,1,GEN_162654_KOLAYAT-S_220_S2
150,1,GEN_162757_POKARAN-S_220_S1
50,1,GEN_162757_POKARAN-S_220_S2
220,1,GEN_162760_PRATAPGARH-W_220_V1
240.4,1,GEN_162760_PRATAPGARH-W_220_W1
110,1,GEN_162874_UNDOO-WS_220_S2
500,1,GEN_164110_JAISALMER_400_V1
300,1,GEN_164402_BARMER-4_400_W1
5,1,GEN_164403_RAMGARH_400_S1
114,1,GEN_164403_RAMGARH_400_S2
600,1,GEN_164403_RAMGARH_400_V1
25.2,1,GEN_164403_RAMGARH_400_W1
250,1,GEN_164411_CHABRA-4_400_1
250,1,GEN_164411_CHABRA-4_400_2
250,1,GEN_164411_CHABRA-4_400_3
250,1,GEN_164411_CHABRA-4_400_4
660,1,GEN_164411_CHABRA-4_400_5
660,1,GEN_164411_CHABRA-4_400_6
660,1,GEN_164411_CHABRA-4_400_7
600,1,GEN_164412_KALISI-4_400_1
600,1,GEN_164412_KALISI-4_400_2
135,1,GEN_164413_RAJWEST_400_1
135,1,GEN_164413_RAJWEST_400_2
135,1,GEN_164413_RAJWEST_400_3
135,1,GEN_164413_RAJWEST_400_4
135,1,GEN_164413_RAJWEST_400_5
135,1,GEN_164413_RAJWEST_400_6
660,1,GEN_164414_KAWAI_400_1
660,1,GEN_164414_KAWAI_400_2
250,1,GEN_164457_SURATG-4_400_3
250,1,GEN_164457_SURATG-4_400_4
250,1,GEN_164457_SURATG-4_400_5
250,1,GEN_164457_SURATG-4_400_6
660,1,GEN_164457_SURATG-4_400_7
660,1,GEN_164457_SURATG-4_400_8
3000,0,GEN_164458_BIKANER-NW_400_SF
2000,0,GEN_164459_BHADLA-N_400_S
33,0,GEN_171170_OBRAH1_132_1
33,0,GEN_171170_OBRAH1_132_2
33,0,GEN_171170_OBRAH1_132_3
50,1,GEN_171189_RIHND1_132_1
50,1,GEN_171189_RIHND1_132_2
50,1,GEN_171189_RIHND1_132_3
50,1,GEN_171189_RIHND1_132_4
50,1,GEN_171189_RIHND1_132_5
50,1,GEN_171189_RIHND1_132_6
45,1,GEN_171610_KHAMBAKH_132_1
45,1,GEN_171610_KHAMBAKH_132_2
45,1,GEN_171627_UTRAULA_132_1
45,1,GEN_171627_UTRAULA_132_2
45,1,GEN_171663_MAQSUDPR_132_1
45,1,GEN_171663_MAQSUDPR_132_2
45,1,GEN_171666_BARKHER_132_1
45,1,GEN_171666_BARKHER_132_2
45,1,GEN_171668_KUNDARK_132_1
45,1,GEN_171668_KUNDARK_132_2
13,0,GEN_171700_AKBCHIN_132_1
25,0,GEN_171701_BALRCHIN_132_1
20,0,GEN_171702_DCM01_132_1
20.25,0,GEN_171703_HAIDER01_132_1
22,0,GEN_171704_LHSUGAR0_132_1
25,0,GEN_171705_MANCHIN_132_1
25,0,GEN_171706_RAUCHIN_132_1
20,0,GEN_171707_TRIVEN01_132_1
25,0,GEN_171708_TRIVEN02_132_1
13,0,GEN_171709_KUMBH_132_1
21.2,0,GEN_171710_GULARI01_132_1
13,0,GEN_171711_JKSUGAR_132_1
20,0,GEN_171712_MAWANA01_132_1
13,0,GEN_171713_MAWANA02_132_1
13,0,GEN_171714_MAWANA03_132_1
12.45,0,GEN_171715_SBECBIO_132_1
20,0,GEN_171716_SIMBHO01_132_1
20,0,GEN_171717_SIMBHO02_132_1
10,0,GEN_171719_OUDH_132_1
26,0,GEN_171720_DALMI01_132_1
26.15,0,GEN_171721_DALMI02_132_1
25,0,GEN_171722_DALMI03_132_1
20,0,GEN_171723_KMSAGA_132_1
25,0,GEN_171724_DWARIK01_132_1
25,0,GEN_171725_DWARIK02_132_1
15,0,GEN_171726_SUKHBI_132_1
13,1,GEN_171728_BAJAJ02_132_1
10,1,GEN_171729_BAJAJ03_132_1
10,1,GEN_171730_BAJAJ04_132_1
20,1,GEN_171732_BAJAJ06_132_1
13,1,GEN_171733_BAJAJ07_132_1
10,1,GEN_171734_BAJAJ08_132_1
13,1,GEN_171735_BAJAJ09_132_1
13,1,GEN_171736_BAJAJ10_132_1
13,0,GEN_171737_DCM02_132_1
13,0,GEN_171738_DCM03_132_1
13,0,GEN_171739_UTTAM01_132_1
10,0,GEN_171740_UTTAM02_132_1
25,0,GEN_171741_DHAMPU01_132_1
25,0,GEN_171742_DHAMPU02_132_1
20,0,GEN_171743_DHAMPU03_132_1
25.3,0,GEN_171744_UPPERG_132_1
25,0,GEN_171745_CHADA_132_1
20,0,GEN_171746_DAURAL_132_1
10,0,GEN_171747_PARLE01_132_1
20,0,GEN_171748_NEWIND_132_1
8.23,0,GEN_171749_PARLE02_132_1
6,0,GEN_171750_LHSUGAR0_132_1
10,0,GEN_171751_GULARI02_132_1
3,0,GEN_171752_HAIDER02_132_1
7.5,0,GEN_171753_DCM04_132_1
300,1,GEN_172227_ROSA-TP1_220_1
300,1,GEN_172227_ROSA-TP1_220_2
24,1,GEN_172247_KHARA2_220_1
24,1,GEN_172247_KHARA2_220_2
24,1,GEN_172247_KHARA2_220_3
60,1,GEN_172257_HARDUGN2_220_5
105,1,GEN_172257_HARDUGN2_220_7
250,1,GEN_172257_HARDUGN2_220_8
250,1,GEN_172257_HARDUGN2_220_9
110,1,GEN_172263_PARICHA2_220_1
110,1,GEN_172263_PARICHA2_220_2
210,1,GEN_172263_PARICHA2_220_3
210,1,GEN_172263_PARICHA2_220_4
105,1,GEN_172265_PANKI2_220_1
105,1,GEN_172265_PANKI2_220_2
94,1,GEN_172271_OBRA2_220_1
94,1,GEN_172271_OBRA2_220_2
50,1,GEN_172271_OBRA2_220_3
40,1,GEN_172271_OBRA2_220_4
110,1,GEN_172286_TANDA2_220_1
110,1,GEN_172286_TANDA2_220_2
110,1,GEN_172286_TANDA2_220_3
110,1,GEN_172286_TANDA2_220_4
660,1,GEN_174000_MEJA_400_1
600,1,GEN_174000_MEJA_400_2
660,1,GEN_174263_BARA_400_1
660,1,GEN_174263_BARA_400_2
660,1,GEN_174263_BARA_400_3
600,1,GEN_174264_KARCHNA_400_1
600,1,GEN_174264_KARCHNA_400_2
250,1,GEN_174408_PARICHHA_400_5
250,1,GEN_174408_PARICHHA_400_6
111,1,GEN_174447_VISHNU4_400_1
111,1,GEN_174447_VISHNU4_400_2
111,1,GEN_174447_VISHNU4_400_3
111,1,GEN_174447_VISHNU4_400_4
210,1,GEN_174468_ANPARA4_400_1
210,1,GEN_174468_ANPARA4_400_2
210,1,GEN_174468_ANPARA4_400_3
500,1,GEN_174468_ANPARA4_400_4
500,1,GEN_174468_ANPARA4_400_5
300,1,GEN_174471_ROSA-TP2_400_3
300,1,GEN_174471_ROSA-TP2_400_4
200,1,GEN_174472_OBRA4_400_5
200,1,GEN_174472_OBRA4_400_6
200,1,GEN_174472_OBRA4_400_7
200,1,GEN_174472_OBRA4_400_8
200,1,GEN_174472_OBRA4_400_9
660,1,GEN_174565_TANDA2_400_1
660,1,GEN_174565_TANDA2_400_2
600,1,GEN_177405_ANPARAC_765_1
600,1,GEN_177405_ANPARAC_765_2
500,1,GEN_177406_ANPARA-D_765_1
500,1,GEN_177406_ANPARA-D_765_2
660,1,GEN_178710_LALITPUR_765_1
660,1,GEN_178710_LALITPUR_765_2
660,1,GEN_178710_LALITPUR_765_3
40,1,GEN_181100_SEWA-II_132_1
40,1,GEN_181100_SEWA-II_132_2
40,1,GEN_181100_SEWA-II_132_3
50,1,GEN_181111_MALAN-II_132_1
50,1,GEN_181111_MALAN-II_132_2
28,1,GEN_181126_GANGUWAL_132_1
24,1,GEN_181126_GANGUWAL_132_2
24,1,GEN_181126_GANGUWAL_132_3
29,1,GEN_181135_KOTLA_132_1
24,1,GEN_181135_KOTLA_132_2
24,1,GEN_181135_KOTLA_132_3
60,1,GEN_182201_BAIRASIUL2_220_1
60,1,GEN_182201_BAIRASIUL2_220_2
60,1,GEN_182201_BAIRASIUL2_220_3
96,1,GEN_182202_ADHYDRO_220_1
96,1,GEN_182202_ADHYDRO_220_2
50,1,GEN_182204_SORANG_400_1
50,1,GEN_182204_SORANG_400_2
66,1,GEN_182214_PONG_220_1
66,1,GEN_182214_PONG_220_2
66,1,GEN_182214_PONG_220_3
66,1,GEN_182214_PONG_220_4
66,1,GEN_182214_PONG_220_5
66,1,GEN_182214_PONG_220_6
108,1,GEN_182216_BHAKRA_L_220_3
108,1,GEN_182216_BHAKRA_L_220_4
108,1,GEN_182216_BHAKRA_L_220_5
108,0,GEN_182216_BHAKRA_L_220_6
108,0,GEN_182216_BHAKRA_L_220_7
157,1,GEN_182217_BHAKRA_R_220_1
157,1,GEN_182217_BHAKRA_R_220_2
157,1,GEN_182217_BHAKRA_R_220_3
157,1,GEN_182217_BHAKRA_R_220_4
157,1,GEN_182217_BHAKRA_R_220_5
165,1,GEN_182218_DEHAR_220_1
165,1,GEN_182218_DEHAR_220_2
55,1,GEN_182219_BALLABGARH_220_1
55,1,GEN_182219_BALLABGARH_220_2
55,1,GEN_182219_BALLABGARH_220_3
115,1,GEN_182227_SALAL2_220_1
115,1,GEN_182227_SALAL2_220_2
115,1,GEN_182227_SALAL2_220_3
115,1,GEN_182227_SALAL2_220_4
115,1,GEN_182227_SALAL2_220_5
115,1,GEN_182227_SALAL2_220_6
31.4,1,GEN_182229_TANAKPUR2_220_1
31.4,1,GEN_182229_TANAKPUR2_220_2
31.4,1,GEN_182229_TANAKPUR2_220_3
111.19,1,GEN_182234_AURYA2_220_G1
111.19,1,GEN_182234_AURYA2_220_G2
111.19,1,GEN_182234_AURYA2_220_G3
111.19,1,GEN_182234_AURYA2_220_G4
109.3,1,GEN_182234_AURYA2_220_S1
109.3,1,GEN_182234_AURYA2_220_S2
88.7,1,GEN_182236_ANTA2_220_G1
88.7,1,GEN_182236_ANTA2_220_G2
88.7,1,GEN_182236_ANTA2_220_G3
153.2,0,GEN_182236_ANTA2_220_GT
153.2,1,GEN_182236_ANTA2_220_S1
70,1,GEN_182237_DHAULI2_400_1
70,1,GEN_182237_DHAULI2_400_2
70,1,GEN_182237_DHAULI2_400_3
70,1,GEN_182237_DHAULI2_400_4
130.19,1,GEN_182238_DADRI_G2_220_G1
130.19,1,GEN_182238_DADRI_G2_220_G2
130.19,1,GEN_182238_DADRI_G2_220_G3
130.19,1,GEN_182238_DADRI_G2_220_G4
154.51,1,GEN_182238_DADRI_G2_220_S1
154.51,1,GEN_182238_DADRI_G2_220_S2
220,1,GEN_182262_RAPS_B2_220_3
220,1,GEN_182262_RAPS_B2_220_4
210,1,GEN_182267_UNCHAHR2_220_1
210,1,GEN_182267_UNCHAHR2_220_2
210,1,GEN_182267_UNCHAHR2_220_3
210,1,GEN_182267_UNCHAHR2_220_4
210,1,GEN_182267_UNCHAHR2_220_5
500,1,GEN_182267_UNCHAHR2_220_S1
210,1,GEN_182907_DADRI_TH_220_1
210,1,GEN_182907_DADRI_TH_220_2
210,1,GEN_182907_DADRI_TH_220_3
210,1,GEN_182907_DADRI_TH_220_4
210,1,GEN_182907_DADRI_TH_220_SW
95,1,GEN_182921_BADARPR2_220_1
95,1,GEN_182921_BADARPR2_220_2
95,1,GEN_182921_BADARPR2_220_3
210,1,GEN_182921_BADARPR2_220_4
210,1,GEN_182921_BADARPR2_220_5
108,1,GEN_182922_FARIDAB2_220_G1
108,1,GEN_182922_FARIDAB2_220_G2
108,1,GEN_182922_FARIDAB2_220_G3
108,0,GEN_182922_FARIDAB2_220_G4
156,0,GEN_182922_FARIDAB2_220_S1
220,1,GEN_182927_NAPP2_220_1
220,1,GEN_182927_NAPP2_220_2
77,1,GEN_182928_CHAMER-3_220_1
77,1,GEN_182928_CHAMER-3_220_2
77,1,GEN_182928_CHAMER-3_220_3
60,1,GEN_182929_KUTEHR_220_1
60,1,GEN_182929_KUTEHR_220_2
60,1,GEN_182929_KUTEHR_220_3
60,1,GEN_182929_KUTEHR_220_4
500,1,GEN_184067_UNCHAHAAR_400_1
500,1,GEN_184400_JHAJJAR4_400_1
500,1,GEN_184400_JHAJJAR4_400_2
500,1,GEN_184400_JHAJJAR4_400_3
100,1,GEN_184401_CHAMERA-2_400_1
100,1,GEN_184401_CHAMERA-2_400_2
100,1,GEN_184401_CHAMERA-2_400_3
220,1,GEN_184405_RAPS_C4_400_5
220,1,GEN_184405_RAPS_C4_400_6
700,1,GEN_184405_RAPS_C4_400_7
700,1,GEN_184405_RAPS_C4_400_8
600,1,GEN_184409_PANIPAT_400_1
600,1,GEN_184409_PANIPAT_400_2
180,1,GEN_184411_CHAMERA-1_400_1
180,1,GEN_184411_CHAMERA-1_400_2
180,1,GEN_184411_CHAMERA-1_400_3
120,1,GEN_184414_URIG-1_400_1
120,1,GEN_184414_URIG-1_400_2
120,1,GEN_184414_URIG-1_400_3
120,1,GEN_184414_URIG-1_400_4
500,1,GEN_184416_RIHAND-G_400_1
500,1,GEN_184416_RIHAND-G_400_2
500,1,GEN_184416_RIHAND-G_400_3
500,1,GEN_184416_RIHAND-G_400_4
130,1,GEN_184418_DULHASTI_400_1
130,1,GEN_184418_DULHASTI_400_2
130,1,GEN_184418_DULHASTI_400_3
165,1,GEN_184419_DEHAR_400_3
165,1,GEN_184419_DEHAR_400_4
165,1,GEN_184419_DEHAR_400_5
165,1,GEN_184419_DEHAR_400_6
490,1,GEN_184424_DADR-NCR_400_5
490,1,GEN_184424_DADR-NCR_400_6
660,0,GEN_184431_KANPUR_400_1
660,0,GEN_184431_KANPUR_400_2
200,1,GEN_184440_KOLDAM_400_1
