Node,node.number,Voltage,Region,Zone,Owner
100011_INDPH1T1_11,100011,11,NORTH,CHANDIGARH,INDIA
100012_INDPH1T2_11,100012,11,NORTH,CHANDIGARH,INDIA
100013_INDPH1T3_11,100013,11,NORTH,CHANDIGARH,INDIA
100014_INDPH1T4_11,100014,11,NORTH,CHANDIGARH,INDIA
182260_PANCHKU_220,182260,220,NORTH,CHANDIGARH,INDIA
182276_NEWWANPO_220,182276,220,NORTH,J&K,INDIA
182444_AMARGARH_220,182444,220,NORTH,J&K,INDIA
184444_AMARGARH_400,184444,400,NORTH,J&K,INDIA
184540_RATLE_400,184540,400,NORTH,J&K,INDIA
184541_KISTAWAR_400,184541,400,NORTH,J&K,INDIA
184542_PAKALDUL_400,184542,400,NORTH,J&K,INDIA
184267_KALAAMB_220,184267,220,NORTH,HIMACHAL,INDIA
184467_KALAAMB_400,184467,400,NORTH,HIMACHAL,INDIA
184468_KALAAMBFSC_400,184468,400,NORTH,HIMACHAL,INDIA
132244_BADAL_220,132244,220,NORTH,PUNJAB,INDIA
182913_LUDHIANA_220,182913,220,NORTH,PUNJAB,INDIA
188407_MOHALI_400,188407,400,NORTH,PUNJAB,INDIA
182239_HISAR-PG_220,182239,220,NORTH,HARYANA,INDIA
182280_JINDPG_220,182280,220,NORTH,HARYANA,INDIA
184483_KURUKSHETR_400,184483,400,NORTH,HARYANA,INDIA
188283_KURUKSHETRA_220,188283,220,NORTH,HARYANA,INDIA
162331_BABAI_220,162331,220,NORTH,RSEB,INDIA
164417_AJMER-NW_400,164417,400,NORTH,RSEB,INDIA
164427_BABAI_400,164427,400,NORTH,RSEB,INDIA
164429_CHIT-NEW_400,164429,400,NORTH,RSEB,INDIA
164458_BIKANER-NW_400,164458,400,NORTH,RSEB,INDIA
168417_AJMER-NW_765,168417,765,NORTH,RSEB,INDIA
168429_CHIT-NEW_765,168429,765,NORTH,RSEB,INDIA
168458_BIKANER-NW_765,168458,765,NORTH,RSEB,INDIA
171159_AGRAS_132,171159,132,NORTH,UP,INDIA
172299_MATHURA_220,172299,220,NORTH,UP,INDIA
174000_MEJA_400,174000,400,NORTH,UP,INDIA
174414_AGRANEW_400,174414,400,NORTH,UP,INDIA
174416_AGRASTH_400,174416,400,NORTH,UP,INDIA
174499_MATHURA_400,174499,400,NORTH,UP,INDIA
178710_LALITPUR_765,178710,765,NORTH,UP,INDIA
178714_AGRAUP7_765,178714,765,NORTH,UP,INDIA
182211_RAEBAREI_220,182211,220,NORTH,UP,INDIA
182901_KANPU-PG_220,182901,220,NORTH,UP,INDIA
184258_ORAI_400,184258,400,NORTH,UP,INDIA
187000_VARNASI8_765,187000,765,NORTH,UP,INDIA
188258_ORAI_765,188258,765,NORTH,UP,INDIA
188401_MATHURA_400,188401,400,NORTH,UP,INDIA
188408_MUZAFRNGR_400,188408,400,NORTH,UP,INDIA
188412_ALIGARH_400,188412,400,NORTH,UP,INDIA
182209_PITHORGA_220,182209,220,NORTH,UTTRAKHAND,INDIA
182213_ROORK-PG_220,182213,220,NORTH,UTTRAKHAND,INDIA
182273_SITARGAN_220,182273,220,NORTH,UTTRAKHAND,INDIA
188449_TEHRIPOL_765,188449,765,NORTH,UTTRAKHAND,INDIA
192050_JOSHIMATH_220,192050,220,NORTH,UTTRAKHAND,INDIA
192051_ALAKNANDA_220,192051,220,NORTH,UTTRAKHAND,INDIA
192054_KUWARIPASS_220,192054,220,NORTH,UTTRAKHAND,INDIA
192055_LATATAPOVAN_220,192055,220,NORTH,UTTRAKHAND,INDIA
192058_SBHATWARI_220,192058,220,NORTH,UTTRAKHAND,INDIA
192059_PHATABYUNG_220,192059,220,NORTH,UTTRAKHAND,INDIA
194054_KUWARIPASS_400,194054,400,NORTH,UTTRAKHAND,INDIA
194056_TPVNVISHNUGD_400,194056,400,NORTH,UTTRAKHAND,INDIA
194057_PIPALKOTI_400,194057,400,NORTH,UTTRAKHAND,INDIA
211010_BTPS1_132,211010,132,NRTHEAST,ASSAM,INDIA
211020_BTPS1-LOAD_132,211020,132,NRTHEAST,ASSAM,INDIA
211135_HAFLONG-PG_132,211135,132,NRTHEAST,ASSAM,INDIA
211165_KOPILI1_132,211165,132,NRTHEAST,ASSAM,INDIA
211215_BADARPUR-PG_132,211215,132,NRTHEAST,ASSAM,INDIA
211570_SILCHAR1_132,211570,132,NRTHEAST,ASSAM,INDIA
212000_BTPS2_220,212000,220,NRTHEAST,ASSAM,INDIA
212001_AGBPP2-AS_220,212001,220,NRTHEAST,ASSAM,INDIA
212021_MISA2_220,212021,220,NRTHEAST,ASSAM,INDIA
212150_KOPILI2_220,212150,220,NRTHEAST,ASSAM,INDIA
212190_BONGAIGAON_220,212190,220,NRTHEAST,ASSAM,INDIA
212360_BALIPARA-PG_220,212360,220,NRTHEAST,ASSAM,INDIA
214010_MISA4_400,214010,400,NRTHEAST,ASSAM,INDIA
214030_BALIPARA-PG_400,214030,400,NRTHEAST,ASSAM,INDIA
214051_BTPS4_400,214051,400,NRTHEAST,ASSAM,INDIA
214170_BONGAIGAON_400,214170,400,NRTHEAST,ASSAM,INDIA
214560_SILCHAR4_400,214560,400,NRTHEAST,ASSAM,INDIA
212096_ADISHANKAR_220,212096,220,NRTHEAST,ARPRADESH,INDIA
212097_KSKDIBBIN_220,212097,220,NRTHEAST,ARPRADESH,INDIA
212098_SEWNAFRA_220,212098,220,NRTHEAST,ARPRADESH,INDIA
212099_PATELHYDRO_220,212099,220,NRTHEAST,ARPRADESH,INDIA
221110_ZIRO-PG_132,221110,132,NRTHEAST,ARPRADESH,INDIA
221460_RANGNADI1_132,221460,132,NRTHEAST,ARPRADESH,INDIA
221500_NIRJULI1_132,221500,132,NRTHEAST,ARPRADESH,INDIA
224050_RANGNADI4_400,224050,400,NRTHEAST,ARPRADESH,INDIA
211145_KHANDONG1_132,211145,132,NRTHEAST,MEGHALAYA,INDIA
231200_KHLIERIAT-PG_132,231200,132,NRTHEAST,MEGHALAYA,INDIA
241060_DIMAPUR-PG_132,241060,132,NRTHEAST,NAGALAND,INDIA
241510_DOYANG1_132,241510,132,NRTHEAST,NAGALAND,INDIA
242050_DIMAPUR-PG_220,242050,220,NRTHEAST,NAGALAND,INDIA
251070_IMPHAL-PG_132,251070,132,NRTHEAST,MANIPUR,INDIA
251080_LOKTAK1_132,251080,132,NRTHEAST,MANIPUR,INDIA
251090_JIRIBAM-PG_132,251090,132,NRTHEAST,MANIPUR,INDIA
254001_IMPHAL-PG_400,254001,400,NRTHEAST,MANIPUR,INDIA
261100_AIZWAL-PG_132,261100,132,NRTHEAST,MIZORAM,INDIA
271120_AGTPP1_132,271120,132,NRTHEAST,TRIPURA,INDIA
271220_KUMARGHAT-PG_132,271220,132,NRTHEAST,TRIPURA,INDIA
271590_PALATAN1_132,271590,132,NRTHEAST,TRIPURA,INDIA
274080_PALATAN4_400,274080,400,NRTHEAST,TRIPURA,INDIA
280001_CHUKHA_13.8,280001,13.8,BHUTAN,BHUTAN,INDIA
281101_MOTANGA1_132,281101,132,BHUTAN,BHUTAN,INDIA
281102_DEOTHANG_132,281102,132,BHUTAN,BHUTAN,INDIA
281103_NANGKOR1_132,281103,132,BHUTAN,BHUTAN,INDIA
281104_KURICHU1_132,281104,132,BHUTAN,BHUTAN,INDIA
281105_NGANGLAM1_132,281105,132,BHUTAN,BHUTAN,INDIA
281106_KILIKHAR1_132,281106,132,BHUTAN,BHUTAN,INDIA
281107_KANGLUG1_132,281107,132,BHUTAN,BHUTAN,INDIA
281108_TINGTIBI1_132,281108,132,BHUTAN,BHUTAN,INDIA
281109_YURMO1_132,281109,132,BHUTAN,BHUTAN,INDIA
281110_JINGMELING1_132,281110,132,BHUTAN,BHUTAN,INDIA
281111_GELEPHU1_132,281111,132,BHUTAN,BHUTAN,INDIA
281201_SAMTSE2_220,281201,220,BHUTAN,BHUTAN,INDIA
281303_NGLAMLOAD_132,281303,132,BHUTAN,BHUTAN,INDIA
282001_CHUKHA_220,282001,220,BHUTAN,BHUTAN,INDIA
282002_MALBAS2_220,282002,220,BHUTAN,BHUTAN,INDIA
282031_SINGHIGAON_220,282031,220,BHUTAN,BHUTAN,INDIA
282202_SEMTOK2_220,282202,220,BHUTAN,BHUTAN,INDIA
282203_JIGMELING2_220,282203,220,BHUTAN,BHUTAN,INDIA
282204_TSIRANG2_220,282204,220,BHUTAN,BHUTAN,INDIA
282205_DAGACHU2_220,282205,220,BHUTAN,BHUTAN,INDIA
282206_RURICHU2_220,282206,220,BHUTAN,BHUTAN,INDIA
282612_SEMTOKLOAD_220,282612,220,BHUTAN,BHUTAN,INDIA
283300_MOTANGA33_33,283300,33,BHUTAN,BHUTAN,INDIA
283301_DEOTHANG33_33,283301,33,BHUTAN,BHUTAN,INDIA
283302_NANGKOR33_33,283302,33,BHUTAN,BHUTAN,INDIA
283304_KILIKHAR33_33,283304,33,BHUTAN,BHUTAN,INDIA
283305_KANGLUG33_33,283305,33,BHUTAN,BHUTAN,INDIA
283306_TINGTIBI33_33,283306,33,BHUTAN,BHUTAN,INDIA
283307_YURMO33_33,283307,33,BHUTAN,BHUTAN,INDIA
283308_GELEPHU33_33,283308,33,BHUTAN,BHUTAN,INDIA
283309_RURICHU33_33,283309,33,BHUTAN,BHUTAN,INDIA
284001_TALA_400,284001,400,BHUTAN,BHUTAN,INDIA
284079_MALBASE_400,284079,400,BHUTAN,BHUTAN,INDIA
286606_RURICHU66_66,286606,66,BHUTAN,BHUTAN,INDIA
286607_BASACHU66_66,286607,66,BHUTAN,BHUTAN,INDIA
286611_SAMTSE66_66,286611,66,BHUTAN,BHUTAN,INDIA
286613_TSIRANG66_66,286613,66,BHUTAN,BHUTAN,INDIA
420003_TALAG_15.75,420003,15.75,BHUTAN,BHUTAN,INDIA
444102_BHERAMARA_400,444102,400,BANGLADESH,BANGLADESH,INDIA
444104_COMILLA_132,444104,132,BANGLADESH,BANGLADESH,INDIA
314002_RAIPUR_400,314002,400,WEST,CHATTISGARH,INDIA
314005_BHATP4_400,314005,400,WEST,CHATTISGARH,INDIA
314006_RAIG4_400,314006,400,WEST,CHATTISGARH,INDIA
314015_RAIPUR-FSC1_400,314015,400,WEST,CHATTISGARH,INDIA
314016_RAIPUR-TCSC1_400,314016,400,WEST,CHATTISGARH,INDIA
314024_RAIPUR-TCSC2_400,314024,400,WEST,CHATTISGARH,INDIA
314025_RAIPUR-FSC2_400,314025,400,WEST,CHATTISGARH,INDIA
314028_BIL-POOL_400,314028,400,WEST,CHATTISGARH,INDIA
314029_RAIGARH_POOL_400,314029,400,WEST,CHATTISGARH,INDIA
314030_RAIPUR_POOL_400,314030,400,WEST,CHATTISGARH,INDIA
314031_TAMNAR_POOL_400,314031,400,WEST,CHATTISGARH,INDIA
314032_DHARAMJAIGAR_400,314032,400,WEST,CHATTISGARH,INDIA
314033_CHAMPA_POOL_400,314033,400,WEST,CHATTISGARH,INDIA
314049_RAIPURSPLT_400,314049,400,WEST,CHATTISGARH,INDIA
318007_SIPAT7_765,318007,765,WEST,CHATTISGARH,INDIA
318028_BLPSRWR_765,318028,765,WEST,CHATTISGARH,INDIA
318029_RAIGARH_KOTR_765,318029,765,WEST,CHATTISGARH,INDIA
318030_RAIPUR_POOL_765,318030,765,WEST,CHATTISGARH,INDIA
318031_TAMNAR_765,318031,765,WEST,CHATTISGARH,INDIA
318032_DHARAMJAIGAR_765,318032,765,WEST,CHATTISGARH,INDIA
344001_MAPUSA4_400,344001,400,WEST,GOA,INDIA
354003_DEHGM4_400,354003,400,WEST,GUJARAT,INDIA
354010_VAPI4_400,354010,400,WEST,GUJARAT,INDIA
354013_PIRANA_T_400,354013,400,WEST,GUJARAT,INDIA
354014_PIRANA_P_400,354014,400,WEST,GUJARAT,INDIA
354024_BACHAU_400,354024,400,WEST,GUJARAT,INDIA
354034_NAVSARI_400,354034,400,WEST,GUJARAT,INDIA
362085_AGAR_220,362085,220,WEST,MP,INDIA
362086_NEEMUCH_220,362086,220,WEST,MP,INDIA
364004_BINA4_400,364004,400,WEST,MP,INDIA
364007_GWALIOR4_400,364007,400,WEST,MP,INDIA
364008_VINDH_W4_400,364008,400,WEST,MP,INDIA
364009_JAB4_400,364009,400,WEST,MP,INDIA
364010_ITA4_400,364010,400,WEST,MP,INDIA
364011_KHAND4_400,364011,400,WEST,MP,INDIA
364012_SATNA_400,364012,400,WEST,MP,INDIA
364013_BINA-PG_400,364013,400,WEST,MP,INDIA
364014_SEONI4_400,364014,400,WEST,MP,INDIA
364015_RAJGARH_400,364015,400,WEST,MP,INDIA
364016_DAMO4_400,364016,400,WEST,MP,INDIA
364019_KHACS1_400,364019,400,WEST,MP,INDIA
364020_KHAC2_400,364020,400,WEST,MP,INDIA
364021_SHUJALPR_400,364021,400,WEST,MP,INDIA
364022_VINDH-IV-V_400,364022,400,WEST,MP,INDIA
364024_SASAN_400,364024,400,WEST,MP,INDIA
364025_VIN-POOL_400,364025,400,WEST,MP,INDIA
364026_JABALPR-POOL_400,364026,400,WEST,MP,INDIA
364086_NEEMUCH_400,364086,400,WEST,MP,INDIA
