Status,Load,Node
1,108.703,100008_KISHENGR_66
0,9.776,100009_SEC-47T2_11
0,7.079,100010_SEC-47T1_11
0,5.346,100011_INDPH1T1_11
0,5.001,100012_INDPH1T2_11
0,4.312,100013_INDPH1T3_11
0,10.52,100014_INDPH1T4_11
0,5.324,100016_INPHIIT2_11
0,2.904,100017_INPHIIT3_11
0,3.62,100018_ITPRKT1_11
0,7.591,100019_SEC-56T1_11
0,9.616,100020_SEC-56T2_11
0,17.839,100021_SEC-52T5_11
0,17.839,100022_SEC-52T4_11
0,12.272,100023_SEC-52T3_11
0,10.88,100025_SEC-52T2_11
0,10.88,100026_SEC-52T1_11
0,6,100029_SEC-52T6_11
0,8.237,100031_SEC-12T1_11
0,9.188,100032_SEC-12T2_11
0,10.033,100033_SEC-12T3_11
0,7.338,100034_SEC-39T1_11
0,13.791,100035_SEC-39T2_11
0,8.3,100036_SEC-39T3_11
0,6.985,100038_SEC-01T1_11
0,6.248,100039_SEC-01T2_11
0,7.847,100040_SEC-18T1_11
0,7.675,100041_SEC-18T2_11
0,12.59,100042_SEC-18T3_11
0,6.701,100043_MANIMJR1_11
0,7.071,100044_MANIMJR2_11
0,4.5,100046_RAIPURK_11
0,4.5,100047_SRANGPR_11
0,7.826,100062_ITPRKT2_11
0,5,100065_SEC-17_11
0,5.302,100067_SEC-34T1_11
0,4.5,100068_RAIPRKLN_11
0,7.903,100069_SEC32T1_11
0,8.299,100070_SEC32T2_11
0,12.349,100071_SEC-32T3_11
0,7.158,100075_SEC-28T4_11
0,7.416,100076_SEC-28T5_11
0,6.64,100077_SEC-28T6_11
0,6.882,100078_ITPRKT3_11
0,3.5,100079_SARNGPR_11
0,5,100080_SEC-12T4_11
0,5,100081_CIVILT3_11
0,15,100085_L&T11_11
0,2.453,100093_INPH2T1_11
0,2.957,100098_SEC-12T4_11
0,5.597,100099_SEC-12T5_11
0,12.636,103072_SEC-28T1_33
0,10.757,103073_SEC-28T2_33
0,11.786,103074_SEC-28T3_33
1,54.351,106050_CHA_S39_66
1,68.214,106054_CHA_S28_66
1,80.151,106060_CHA_S56_66
1,69.613,111006_KATHUA1_132
1,24.096,111101_MIRBAZAR_132
1,10,111102_RAMBAN_132
1,28.864,111103_SHREE_132
0,7.411,111104_LOWERJHELUM1_132
1,57.516,111105_PATTAN1_132
1,129.408,111106_ZAINAKOT_132
1,53.487,111107_CHAMASHEHI_132
1,156.52,111108_UDAMPUR1_132
1,101.021,111109_ARAMGARH_132
1,34.803,111110_MAHANPUR_132
1,363.931,111111_AULSTENG_132
1,43.296,111112_MATTAN_132
1,8.152,111113_KATRA1_132
1,8.152,111114_JOURIAN1_132
1,43.296,111115_TETHAR_132
1,36.077,111116_KULGAM_132
1,133.719,111117_WANGANPURA1_132
1,128.369,111118_BEMINA1_132
1,17.116,111119_UPPERSIND_132
1,66.146,111120_RAWALPURA1_132
1,101.021,111121_AWANTIPURA_132
1,57.728,111122_LASSIPORA_132
1,71.741,111123_BARN1_132
1,5.348,111126_SHOPIAN_132
1,16.046,111127_KHANMOH_132
1,102.696,111128_HABBAK_132
1,136.958,111129_PAMPORE1_132
1,28.864,111130_WANPOH1_132
1,18.489,111131_KALAKOTE_132
1,38.478,111132_JHAJJARKOTL1_132
1,40.76,111133_JANIPUR1_132
1,53.801,111134_NEWCANAL1_132
1,65.216,111135_MERANSAHIB_132
1,44.019,111136_BARIBRAHMINA_132
1,379.888,111137_GLADINI1_132
1,42.789,111138_BADAMPUR_132
1,8.152,111139_SAMBA_132
1,216.845,111140_HERANAGAR1_132
1,41.85,111141_RAJOURI1_132
0,7,111142_DRABA1_132
1,8.152,111143_CHANDAK1_132
1,8.152,111144_BATOT1_132
1,8.152,111145_SIDHRA1_132
1,8.561,111146_MAGAM_132
0,0,112202_PAMPORE2_220
0,4.536,112233_BUDGAM_220
1,70.786,112239_DELINA_220
1,32.175,112240_GLADNI_220
1,10.755,121100_DARLAGHA_132
1,86.037,121102_BAJAURA1_132
0,0,121102_BAJAURA1_132
1,86.037,121105_KANGRA1_132
0,0,121105_KANGRA1_132
1,30.017,121107_KUNIHAR1_132
0,0,121107_KUNIHAR1_132
1,12.906,121109_BASSI1_132
0,0,121109_BASSI1_132
1,99.294,121110_HAMIRP-1_132
0,0,121110_HAMIRP-1_132
1,52.278,121112_GIRI1_132
0,0,121112_GIRI1_132
1,139.179,121113_BAROTIWA_132
0,0,121113_BAROTIWA_132
1,93.548,121114_KALAAMB1_132
0,0,121114_KALAAMB1_132
1,53.773,121115_PALAMPUR_132
0,0,121115_PALAMPUR_132
1,101.806,121116_PAONTA1_132
0,0,121116_PAONTA1_132
1,43.018,121117_AMB1_132
0,0,121117_AMB1_132
1,32.265,121118_UNA1_132
0,0,121118_UNA1_132
1,5.377,121119_LARJI1_132
0,0,121120_JASSOR1_132
1,218.232,121121_JUTOG1_132
1,125.064,121122_SOLAN1_132
0,0,121122_SOLAN1_132
1,43.018,121123_DEHRA1_132
0,0,121123_DEHRA1_132
0,0,121124_KANGO1_132
0,70.091,121126_KNGO_SPL_132
1,10.755,121127_BAGHA_132
1,43.018,121129_BATHRI1_132
0,0,121129_BATHRI1_132
1,53.773,121131_BIJNI1_132
0,0,121131_BIJNI1_132
1,43.018,121135_KANDRI1_132
0,0,121135_KANDRI1_132
0,0,121901_KANGR-PS_132
1,27.835,122206_RAURIAMB_220
1,25.185,122209_FOZAL_220
0,15,122920_JASSOR2_220
0,0,122920_JASSOR2_220
1,49.529,123003_BADDI_33
1,90.797,126001_KOTLA6_66
0,0,126001_KOTLA6_66
1,222.867,126002_BADDI6_66
0,0,126002_BADDI6_66
1,107.305,126004_UPARNANG_66
1,24.66,131101_GURDASPUR_132
1,22.484,131102_DHARIWAL_132
1,38.44,131103_SHRIHARGOBIN_132
1,2.176,131105_PIMS_132
1,12.33,131106_ASRON_132
1,25.385,131107_JADLA_132
1,29.736,131108_BANGA_132
1,24.66,131109_PHAGWARA_132
1,135.786,131111_FEROZPUR21_132
1,11.605,131112_CHAMKAUR_132
1,53.671,131113_MAHILPUR21_132
1,3.626,131114_GHULAL_132
1,3.626,131115_GHOLIA_132
1,18.857,131116_CHOHAL_132
1,14.505,131117_BHOGPUR_132
0,60.646,131118_MUKERI-3_132
1,29.736,131119_PATHANKOT_132
0,52.575,131120_SARNA21_132
1,2.9,131121_WADALAGRAN21_132
1,13.781,131122_KHARAR_132
1,7.251,131124_VERPAL21_132
1,15.231,131125_DORAHA_132
0,50,131126_MOGA21_132
1,4.352,131128_BILASPUR_132
0,21.679,131130_AMRITSAR21_132
1,7.978,131131_SIHORA_132
0,29.441,131133_ROPAR21_132
0,5.96,131133_ROPAR21_132
1,34.088,131134_GORAYA21_132
1,3.626,131136_SEH_132
1,3.626,131137_SHAMSPUR_132
1,14.505,131138_MAUR_132
1,1.45,131139_MUKATSAR21_132
1,7.978,131140_SULTANPUR21_132
1,3.626,131141_BALUANA_132
1,7.254,131142_GIDDERBAH_132
1,18.857,131143_BADAL_132
1,23.207,131145_MALOUT_132
1,15.231,131146_ABOHAR_132
1,21.759,131147_BHATINDA21_132
1,42.066,131148_NAWANSHAHAR_132
0,4.97,131149_ANANDGARH-2_132
1,25.385,131150_JALALABAD_132
1,69.659,131151_SADIQ_132
1,7.254,131152_SARAINANGAL_132
1,5.077,131153_PANJGARY_132
1,3.626,131154_KOTAKPUR_132
1,29.736,131155_KOTAKPUR1_132
1,17.104,131156_BAGHAPURANA_132
1,13.055,131157_SAMADHBH_132
1,5.802,131158_MOGA-II_132
1,7.978,131159_FARIDKOT_132
1,4.352,131160_MANASING_132
1,23.934,131161_FEROZSHAH_132
1,34.088,131162_TALWANDI_132
1,3.626,131163_SOSAN_132
1,14.505,131164_BADNIKALAN_132
