Line,Node From,Node To,Type,Voltage,Max Flow,Min Flow,Resistance,Reactance,Status,Length
106048_106050_1_CKT,106048_SARANGPR_66,106050_CHA_S39_66,AC,66,45,NA,0.0094116,0.0224158,0,NA
106048_106051_1_CKT,106048_SARANGPR_66,106051_CHA_S12_66,AC,66,45,NA,0.01862,0.04432,0,NA
106048_106051_2_CKT,106048_SARANGPR_66,106051_CHA_S12_66,AC,66,45,NA,0.005301,0.0126255,0,NA
106048_106051_3_CKT,106048_SARANGPR_66,106051_CHA_S12_66,AC,66,45,NA,0.0094116,0.0224158,0,NA
106050_106051_1_CKT,106050_CHA_S39_66,106051_CHA_S12_66,AC,66,45,NA,0.01884,0.04485,1,NA
106050_106051_2_CKT,106050_CHA_S39_66,106051_CHA_S12_66,AC,66,45,NA,0.01884,0.04485,1,NA
100008_106052_1_CKT,100008_KISHENGR_66,106052_SEC-1_66,AC,66,45,NA,0.0226548,0.0539574,0,NA
106048_106052_1_CKT,106048_SARANGPR_66,106052_SEC-1_66,AC,66,45,NA,0.02607,0.06205,0,NA
106048_106052_2_CKT,106048_SARANGPR_66,106052_SEC-1_66,AC,66,45,NA,0.005301,0.0126255,0,NA
106051_106052_1_CKT,106051_CHA_S12_66,106052_SEC-1_66,AC,66,45,NA,0.0182,0.02649,0,NA
106051_106052_2_CKT,106051_CHA_S12_66,106052_SEC-1_66,AC,66,45,NA,0.0182,0.02649,0,NA
100008_106053_1_CKT,100008_KISHENGR_66,106053_MANIMJR2_66,AC,66,45,NA,0.008928,0.021264,0,NA
100008_106053_2_CKT,100008_KISHENGR_66,106053_MANIMJR2_66,AC,66,45,NA,0.008928,0.021264,0,NA
106045_106053_1_CKT,106045_RAIPRKLN_66,106053_MANIMJR2_66,AC,66,45,NA,0.0931,0.2216,0,NA
100008_106054_1_CKT,100008_KISHENGR_66,106054_CHA_S28_66,AC,66,45,NA,0.0108252,0.0257826,0,NA
100008_106054_2_CKT,100008_KISHENGR_66,106054_CHA_S28_66,AC,66,45,NA,0.0108252,0.0257826,0,NA
100008_106055_1_CKT,100008_KISHENGR_66,106055_IA_PH_I_66,AC,66,45,NA,0.0183396,0.0436798,1,NA
100008_106055_2_CKT,100008_KISHENGR_66,106055_IA_PH_I_66,AC,66,45,NA,0.03154,0.04591,1,NA
106045_106055_1_CKT,106045_RAIPRKLN_66,106055_IA_PH_I_66,AC,66,45,NA,0.03724,0.08864,0,NA
106054_106055_1_CKT,106054_CHA_S28_66,106055_IA_PH_I_66,AC,66,45,NA,0.01307,0.01902,1,NA
106054_106055_2_CKT,106054_CHA_S28_66,106055_IA_PH_I_66,AC,66,45,NA,0.01307,0.01902,1,NA
106055_106056_1_CKT,106055_IA_PH_I_66,106056_IA_PH_II_66,AC,66,45,NA,0.00926,0.01347,1,NA
106055_106056_2_CKT,106055_IA_PH_I_66,106056_IA_PH_II_66,AC,66,45,NA,0.00926,0.01347,1,NA
106056_106057_1_CKT,106056_IA_PH_II_66,106057_CHA_S32_66,AC,66,45,NA,0.02009,0.02924,1,NA
106056_106058_1_CKT,106056_IA_PH_II_66,106058_CHA_S47_66,AC,66,45,NA,0.0105276,0.0250738,0,NA
106056_106058_2_CKT,106056_IA_PH_II_66,106058_CHA_S47_66,AC,66,45,NA,0.0105276,0.0250738,0,NA
106049_106059_1_CKT,106049_SEC-17_66,106059_CHA_S52_66,AC,66,45,NA,0.01862,0.04432,0,NA
106058_106059_1_CKT,106058_CHA_S47_66,106059_CHA_S52_66,AC,66,45,NA,0.02239,0.03259,1,NA
106058_106059_2_CKT,106058_CHA_S47_66,106059_CHA_S52_66,AC,66,45,NA,0.01302,0.03101,0,NA
13099_106059_1_CKT,13099_MOHALSPLT_66,106059_CHA_S52_66,AC,66,0,NA,0.03039,0.07233,0,NA
106059_106060_1_CKT,106059_CHA_S52_66,106060_CHA_S56_66,AC,66,45,NA,0.01488,0.03544,1,NA
106059_106060_2_CKT,106059_CHA_S52_66,106060_CHA_S56_66,AC,66,45,NA,0.02559,0.03725,1,NA
13099_106060_2_CKT,13099_MOHALSPLT_66,106060_CHA_S56_66,AC,66,45,NA,0.02806,0.04084,1,NA
100008_106061_1_CKT,100008_KISHENGR_66,106061_IT_PARK_66,AC,66,45,NA,0.0027156,0.0064678,1,NA
100008_106061_2_CKT,100008_KISHENGR_66,106061_IT_PARK_66,AC,66,45,NA,0.0027156,0.0064678,0,NA
106045_106061_1_CKT,106045_RAIPRKLN_66,106061_IT_PARK_66,AC,66,45,NA,0.0931,0.2216,0,NA
100008_106063_1_CKT,100008_KISHENGR_66,106063_CHA_S18_66,AC,66,45,NA,0.02234,0.05318,1,NA
106054_106063_1_CKT,106054_CHA_S28_66,106063_CHA_S18_66,AC,66,45,NA,0.0149544,0.0356172,0,NA
106057_106066_1_CKT,106057_CHA_S32_66,106066_SEC-34_66,AC,66,45,NA,0.0149,0.03546,0,NA
106056_106090_1_CKT,106056_IA_PH_II_66,106090_INPH2SPT_66,AC,66,45,NA,0,1e-04,0,NA
106057_106090_1_CKT,106057_CHA_S32_66,106090_INPH2SPT_66,AC,66,45,NA,0.0116808,0.0278204,1,NA
106056_106091_1_CKT,106056_IA_PH_II_66,106091_SEC52SPL_66,AC,66,45,NA,0.02346,0.05584,1,NA
106058_106091_1_CKT,106058_CHA_S47_66,106091_SEC52SPL_66,AC,66,45,NA,0.0149,0.03546,1,NA
106059_106091_1_CKT,106059_CHA_S52_66,106091_SEC52SPL_66,AC,66,45,NA,0,1e-04,1,NA
106060_106091_2_CKT,106060_CHA_S56_66,106091_SEC52SPL_66,AC,66,45,NA,0.01488,0.03544,0,NA
13099_106091_1_CKT,13099_MOHALSPLT_66,106091_SEC52SPL_66,AC,66,0,NA,0.03039,0.07233,1,NA
100008_106095_2_CKT,100008_KISHENGR_66,106095_INPH1SPT_66,AC,66,45,NA,0.0183396,0.0436798,1,NA
106055_106095_1_CKT,106055_IA_PH_I_66,106095_INPH1SPT_66,AC,66,45,NA,0,1e-04,1,NA
106090_106095_1_CKT,106090_INPH2SPT_66,106095_INPH1SPT_66,AC,66,45,NA,0.005394,0.012847,1,NA
106090_106095_2_CKT,106090_INPH2SPT_66,106095_INPH1SPT_66,AC,66,45,NA,0.005394,0.012847,0,NA
100008_106096_1_CKT,100008_KISHENGR_66,106096_SEC28SPT_66,AC,66,45,NA,0.0108252,0.0257826,1,NA
100075_106096_1_CKT,100075_SEC-28T4_11,106096_SEC28SPT_66,AC,11,10,NA,0,1.015,0,NA
106054_106096_1_CKT,106054_CHA_S28_66,106096_SEC28SPT_66,AC,66,45,NA,0,1e-04,1,NA
106055_106096_1_CKT,106055_IA_PH_I_66,106096_SEC28SPT_66,AC,66,45,NA,0.0075888,0.0180744,0,NA
106055_106096_2_CKT,106055_IA_PH_I_66,106096_SEC28SPT_66,AC,66,45,NA,0.0075888,0.0180744,0,NA
106051_106097_1_CKT,106051_CHA_S12_66,106097_SEC1SPT_66,AC,66,45,NA,0.02085,0.04964,0,NA
106052_106097_1_CKT,106052_SEC-1_66,106097_SEC1SPT_66,AC,66,45,NA,0,1e-04,0,NA
111103_111104_2_CKT,111103_SHREE_132,111104_LOWERJHELUM1_132,AC,132,100,NA,0.01284,0.03057,1,NA
111104_111105_1_CKT,111104_LOWERJHELUM1_132,111105_PATTAN1_132,AC,132,100,NA,0.0428,0.1019,1,NA
111105_111106_1_CKT,111105_PATTAN1_132,111106_ZAINAKOT_132,AC,132,100,NA,0.03538,0.08421,1,NA
111105_111106_2_CKT,111105_PATTAN1_132,111106_ZAINAKOT_132,AC,132,100,NA,0.03538,0.08421,1,NA
111101_111108_1_CKT,111101_MIRBAZAR_132,111108_UDAMPUR1_132,AC,132,100,NA,0.06889,0.16398,1,NA
111103_111109_2_CKT,111103_SHREE_132,111109_ARAMGARH_132,AC,132,100,NA,0.01798,0.0428,1,NA
111105_111109_2_CKT,111105_PATTAN1_132,111109_ARAMGARH_132,AC,132,100,NA,0.01198,0.02853,1,NA
111101_111112_1_CKT,111101_MIRBAZAR_132,111112_MATTAN_132,AC,132,100,NA,0.01136,0.02704,1,NA
111101_111115_1_CKT,111101_MIRBAZAR_132,111115_TETHAR_132,AC,132,100,NA,0.03165,0.07534,1,NA
111108_111115_1_CKT,111108_UDAMPUR1_132,111115_TETHAR_132,AC,132,100,NA,0.03724,0.08864,1,NA
111101_111116_1_CKT,111101_MIRBAZAR_132,111116_KULGAM_132,AC,132,100,NA,0.01117,0.02659,1,NA
111106_111117_1_CKT,111106_ZAINAKOT_132,111117_WANGANPURA1_132,AC,132,100,NA,0.00838,0.01997,1,NA
111106_111117_2_CKT,111106_ZAINAKOT_132,111117_WANGANPURA1_132,AC,132,100,NA,0.00838,0.01997,1,NA
111106_111118_1_CKT,111106_ZAINAKOT_132,111118_BEMINA1_132,AC,132,100,NA,0.0056,0.0133,1,NA
111106_111118_2_CKT,111106_ZAINAKOT_132,111118_BEMINA1_132,AC,132,100,NA,0.0056,0.0133,1,NA
111117_111118_1_CKT,111117_WANGANPURA1_132,111118_BEMINA1_132,AC,132,100,NA,0.00512,0.01219,1,NA
111117_111118_2_CKT,111117_WANGANPURA1_132,111118_BEMINA1_132,AC,132,100,NA,0.00512,0.01219,1,NA
111107_111119_1_CKT,111107_CHAMASHEHI_132,111119_UPPERSIND_132,AC,132,100,NA,0.0168,0.0399,1,NA
111107_111119_2_CKT,111107_CHAMASHEHI_132,111119_UPPERSIND_132,AC,132,100,NA,0.0168,0.0399,1,NA
111117_111119_1_CKT,111117_WANGANPURA1_132,111119_UPPERSIND_132,AC,132,100,NA,0.0093,0.0222,1,NA
