Node,Voltage,Region,Zone,Owner
100008_KISHENGR_66,66,NORTH,CHANDIGARH,CHND_STU
100009_SEC-47T2_11,11,NORTH,CHANDIGARH,CHND_STU
100010_SEC-47T1_11,11,NORTH,CHANDIGARH,CHND_STU
100011_INDPH1T1_11,11,NORTH,CHANDIGARH,INDIA
100012_INDPH1T2_11,11,NORTH,CHANDIGARH,INDIA
100013_INDPH1T3_11,11,NORTH,CHANDIGARH,INDIA
100014_INDPH1T4_11,11,NORTH,CHANDIGARH,INDIA
100016_INPHIIT2_11,11,NORTH,CHANDIGARH,CHND_STU
100017_INPHIIT3_11,11,NORTH,CHANDIGARH,CHND_STU
100018_ITPRKT1_11,11,NORTH,CHANDIGARH,CHND_STU
100019_SEC-56T1_11,11,NORTH,CHANDIGARH,CHND_STU
100020_SEC-56T2_11,11,NORTH,CHANDIGARH,CHND_STU
100021_SEC-52T5_11,11,NORTH,CHANDIGARH,CHND_STU
100022_SEC-52T4_11,11,NORTH,CHANDIGARH,CHND_STU
100023_SEC-52T3_11,11,NORTH,CHANDIGARH,CHND_STU
100025_SEC-52T2_11,11,NORTH,CHANDIGARH,CHND_STU
100026_SEC-52T1_11,11,NORTH,CHANDIGARH,CHND_STU
100029_SEC-52T6_11,11,NORTH,CHANDIGARH,CHND_STU
100031_SEC-12T1_11,11,NORTH,CHANDIGARH,CHND_STU
100032_SEC-12T2_11,11,NORTH,CHANDIGARH,CHND_STU
100033_SEC-12T3_11,11,NORTH,CHANDIGARH,CHND_STU
100034_SEC-39T1_11,11,NORTH,CHANDIGARH,CHND_STU
100035_SEC-39T2_11,11,NORTH,CHANDIGARH,CHND_STU
100036_SEC-39T3_11,11,NORTH,CHANDIGARH,CHND_STU
100038_SEC-01T1_11,11,NORTH,CHANDIGARH,CHND_STU
100039_SEC-01T2_11,11,NORTH,CHANDIGARH,CHND_STU
100040_SEC-18T1_11,11,NORTH,CHANDIGARH,CHND_STU
100041_SEC-18T2_11,11,NORTH,CHANDIGARH,CHND_STU
100042_SEC-18T3_11,11,NORTH,CHANDIGARH,CHND_STU
100043_MANIMJR1_11,11,NORTH,CHANDIGARH,CHND_STU
100044_MANIMJR2_11,11,NORTH,CHANDIGARH,CHND_STU
100046_RAIPURK_11,11,NORTH,CHANDIGARH,CHND_STU
100047_SRANGPR_11,11,NORTH,CHANDIGARH,CHND_STU
100062_ITPRKT2_11,11,NORTH,CHANDIGARH,CHND_STU
100065_SEC-17_11,11,NORTH,CHANDIGARH,CHND_STU
100067_SEC-34T1_11,11,NORTH,CHANDIGARH,CHND_STU
100068_RAIPRKLN_11,11,NORTH,CHANDIGARH,CHND_STU
100069_SEC32T1_11,11,NORTH,CHANDIGARH,CHND_STU
100070_SEC32T2_11,11,NORTH,CHANDIGARH,CHND_STU
100071_SEC-32T3_11,11,NORTH,CHANDIGARH,CHND_STU
100075_SEC-28T4_11,11,NORTH,CHANDIGARH,CHND_STU
100076_SEC-28T5_11,11,NORTH,CHANDIGARH,CHND_STU
100077_SEC-28T6_11,11,NORTH,CHANDIGARH,CHND_STU
100078_ITPRKT3_11,11,NORTH,CHANDIGARH,CHND_STU
100079_SARNGPR_11,11,NORTH,CHANDIGARH,CHND_STU
100080_SEC-12T4_11,11,NORTH,CHANDIGARH,CHND_STU
100081_CIVILT3_11,11,NORTH,CHANDIGARH,CHND_STU
100085_L&T11_11,11,NORTH,CHANDIGARH,CHND_STU
100093_INPH2T1_11,11,NORTH,CHANDIGARH,CHND_STU
100098_SEC-12T4_11,11,NORTH,CHANDIGARH,CHND_STU
100099_SEC-12T5_11,11,NORTH,CHANDIGARH,CHND_STU
102255_MANIMJR1_220,220,NORTH,CHANDIGARH,CHND_STU
103072_SEC-28T1_33,33,NORTH,CHANDIGARH,CHND_STU
103073_SEC-28T2_33,33,NORTH,CHANDIGARH,CHND_STU
103074_SEC-28T3_33,33,NORTH,CHANDIGARH,CHND_STU
106045_RAIPRKLN_66,66,NORTH,CHANDIGARH,CHND_STU
106048_SARANGPR_66,66,NORTH,CHANDIGARH,CHND_STU
106049_SEC-17_66,66,NORTH,CHANDIGARH,CHND_STU
106050_CHA_S39_66,66,NORTH,CHANDIGARH,CHND_STU
106051_CHA_S12_66,66,NORTH,CHANDIGARH,CHND_STU
106052_SEC-1_66,66,NORTH,CHANDIGARH,CHND_STU
106053_MANIMJR2_66,66,NORTH,CHANDIGARH,CHND_STU
106054_CHA_S28_66,66,NORTH,CHANDIGARH,CHND_STU
106055_IA_PH_I_66,66,NORTH,CHANDIGARH,CHND_STU
106056_IA_PH_II_66,66,NORTH,CHANDIGARH,CHND_STU
106057_CHA_S32_66,66,NORTH,CHANDIGARH,CHND_STU
106058_CHA_S47_66,66,NORTH,CHANDIGARH,CHND_STU
106059_CHA_S52_66,66,NORTH,CHANDIGARH,CHND_STU
106060_CHA_S56_66,66,NORTH,CHANDIGARH,CHND_STU
106061_IT_PARK_66,66,NORTH,CHANDIGARH,CHND_STU
106063_CHA_S18_66,66,NORTH,CHANDIGARH,CHND_STU
106066_SEC-34_66,66,NORTH,CHANDIGARH,CHND_STU
106090_INPH2SPT_66,66,NORTH,CHANDIGARH,CHND_STU
106091_SEC52SPL_66,66,NORTH,CHANDIGARH,CHND_STU
106095_INPH1SPT_66,66,NORTH,CHANDIGARH,CHND_STU
106096_SEC28SPT_66,66,NORTH,CHANDIGARH,CHND_STU
