BusNumber,RegionName
110000,PUNJAB
110001,PUNJAB
110002,PUNJAB
110003,PUNJAB
110004,PUNJAB
110005,PUNJAB
110006,PUNJAB
110007,PUNJAB
110008,PUNJAB
110009,PUNJAB
110010,PUNJAB
110011,PUNJAB
110012,PUNJAB
110013,PUNJAB
110014,PUNJAB
110015,PUNJAB
110016,PUNJAB
110017,PUNJAB
110018,PUNJAB
110019,PUNJAB
110020,PUNJAB
110021,PUNJAB
110022,PUNJAB
110023,PUNJAB
110024,PUNJAB
110025,PUNJAB
110026,PUNJAB
110027,PUNJAB
110028,PUNJAB
110029,PUNJAB
110030,PUNJAB
110031,PUNJAB
110032,PUNJAB
110033,PUNJAB
110034,PUNJAB
110035,PUNJAB
110036,PUNJAB
110037,PUNJAB
110038,PUNJAB
110039,PUNJAB
110040,PUNJAB
110041,PUNJAB
110042,PUNJAB
110043,PUNJAB
110044,PUNJAB
110045,PUNJAB
110046,PUNJAB
110047,PUNJAB
110048,PUNJAB
110049,PUNJAB
110050,PUNJAB
110051,PUNJAB
110052,PUNJAB
110053,PUNJAB
110054,PUNJAB
110055,PUNJAB
110056,PUNJAB
110057,PUNJAB
110058,PUNJAB
110059,PUNJAB
110060,PUNJAB
110061,PUNJAB
110062,PUNJAB
110063,PUNJAB
110064,PUNJAB
110065,PUNJAB
110066,PUNJAB
110067,PUNJAB
110068,PUNJAB
110069,PUNJAB
110070,PUNJAB
110071,PUNJAB
110072,PUNJAB
110073,PUNJAB
110074,PUNJAB
110075,PUNJAB
110076,PUNJAB
110077,PUNJAB
110078,PUNJAB
110079,PUNJAB
110080,PUNJAB
111000,PUNJAB
111001,PUNJAB
111002,PUNJAB
111003,PUNJAB
111004,PUNJAB
111005,PUNJAB
111006,PUNJAB
111007,PUNJAB
111008,PUNJAB
111009,PUNJAB
111010,PUNJAB
111011,PUNJAB
111012,PUNJAB
111013,PUNJAB
111014,PUNJAB
111015,PUNJAB
111016,PUNJAB
111017,PUNJAB
111018,PUNJAB
111019,PUNJAB
111020,PUNJAB
111021,PUNJAB
111022,PUNJAB
111023,PUNJAB
111024,PUNJAB
111025,PUNJAB
111026,PUNJAB
111027,PUNJAB
111028,PUNJAB
111029,PUNJAB
111030,PUNJAB
111031,PUNJAB
111032,PUNJAB
111033,PUNJAB
111034,PUNJAB
111035,PUNJAB
111036,PUNJAB
111037,PUNJAB
111038,PUNJAB
111039,PUNJAB
111040,PUNJAB
111041,PUNJAB
111042,PUNJAB
111043,PUNJAB
111044,PUNJAB
111045,PUNJAB
111046,PUNJAB
111047,PUNJAB
111048,PUNJAB
111049,PUNJAB
111050,PUNJAB
111051,PUNJAB
111052,PUNJAB
111053,PUNJAB
111054,PUNJAB
111055,PUNJAB
111056,PUNJAB
111057,PUNJAB
111058,PUNJAB
111059,PUNJAB
111060,PUNJAB
111061,PUNJAB
111062,PUNJAB
111063,PUNJAB
111064,PUNJAB
111065,PUNJAB
111066,PUNJAB
111067,PUNJAB
111068,PUNJAB
111069,PUNJAB
111070,PUNJAB
111071,PUNJAB
111072,PUNJAB
111073,PUNJAB
111074,PUNJAB
111075,PUNJAB
111076,PUNJAB
111077,PUNJAB
111078,PUNJAB
111079,PUNJAB
111080,PUNJAB
111081,PUNJAB
111082,PUNJAB
111083,PUNJAB
111084,PUNJAB
111085,PUNJAB
111086,PUNJAB
111087,PUNJAB
111088,PUNJAB
111089,PUNJAB
111090,PUNJAB
111091,PUNJAB
111092,PUNJAB
111093,PUNJAB
111094,PUNJAB
111095,PUNJAB
111096,PUNJAB
111097,PUNJAB
111098,PUNJAB
111099,PUNJAB
111100,PUNJAB
111101,PUNJAB
111102,PUNJAB
111103,PUNJAB
111104,PUNJAB
111105,PUNJAB
111106,PUNJAB
111107,PUNJAB
111108,PUNJAB
111109,PUNJAB
111110,PUNJAB
111111,PUNJAB
111112,PUNJAB
111113,PUNJAB
111114,PUNJAB
112000,PUNJAB
112001,PUNJAB
112002,PUNJAB
112003,PUNJAB
112004,PUNJAB
112005,PUNJAB
112006,PUNJAB
112007,PUNJAB
112008,PUNJAB
112009,PUNJAB
112010,PUNJAB
112011,PUNJAB
112012,PUNJAB
112013,PUNJAB
112014,PUNJAB
112015,PUNJAB
112016,PUNJAB
112017,PUNJAB
112018,PUNJAB
112019,PUNJAB
112020,PUNJAB
112021,PUNJAB
112022,PUNJAB
112023,PUNJAB
112024,PUNJAB
112025,PUNJAB
112026,PUNJAB
112027,PUNJAB
112028,PUNJAB
112029,PUNJAB
112030,PUNJAB
112031,PUNJAB
112032,PUNJAB
112033,PUNJAB
112034,PUNJAB
112035,PUNJAB
112036,PUNJAB
112037,PUNJAB
112038,PUNJAB
112039,PUNJAB
112040,PUNJAB
112041,PUNJAB
112042,PUNJAB
112043,PUNJAB
112044,PUNJAB
112045,PUNJAB
112046,PUNJAB
112047,PUNJAB
112048,PUNJAB
112049,PUNJAB
112050,PUNJAB
112051,PUNJAB
112052,PUNJAB
112053,PUNJAB
112054,PUNJAB
112055,PUNJAB
112056,PUNJAB
112057,PUNJAB
112058,PUNJAB
112059,PUNJAB
112060,PUNJAB
112061,PUNJAB
112062,PUNJAB
112063,PUNJAB
112064,PUNJAB
112065,PUNJAB
112066,PUNJAB
112067,PUNJAB
112068,PUNJAB
112069,PUNJAB
112070,PUNJAB
112071,PUNJAB
112072,PUNJAB
112073,PUNJAB
112074,PUNJAB
112075,PUNJAB
112076,PUNJAB
112077,PUNJAB
112078,PUNJAB
112079,PUNJAB
112080,PUNJAB
112081,PUNJAB
112082,PUNJAB
112083,PUNJAB
112084,PUNJAB
112085,PUNJAB
112086,PUNJAB
112087,PUNJAB
112088,PUNJAB
112089,PUNJAB
112090,PUNJAB
112091,PUNJAB
112092,PUNJAB
112093,PUNJAB
112094,PUNJAB
112095,PUNJAB
112096,PUNJAB
112097,PUNJAB
112098,PUNJAB
112099,PUNJAB
112100,PUNJAB
112101,PUNJAB
112102,PUNJAB
112103,PUNJAB
112104,PUNJAB
112105,PUNJAB
112106,PUNJAB
112107,PUNJAB
112108,PUNJAB
112109,PUNJAB
112110,PUNJAB
112111,PUNJAB
112112,PUNJAB
112113,PUNJAB
114000,PUNJAB
114001,PUNJAB
114002,PUNJAB
114003,PUNJAB
114004,PUNJAB
114005,PUNJAB
114006,PUNJAB
114007,PUNJAB
114008,PUNJAB
114009,PUNJAB
114010,PUNJAB
114011,PUNJAB
114012,PUNJAB
120000,HARYANA
120001,HARYANA
120002,HARYANA
120003,HARYANA
120004,HARYANA
120005,HARYANA
120006,HARYANA
120007,HARYANA
120008,HARYANA
120009,HARYANA
120010,HARYANA
120011,HARYANA
120012,HARYANA
120013,HARYANA
120014,HARYANA
120015,HARYANA
120016,HARYANA
120017,HARYANA
120018,HARYANA
120019,HARYANA
120020,HARYANA
120021,HARYANA
120022,HARYANA
