BusNumber,ZoneName
111000,NR
111001,NR
111002,NR
111003,NR
111004,NR
111005,NR
111006,NR
111007,NR
111008,NR
111009,NR
111010,NR
111011,NR
111012,NR
111013,NR
111014,NR
111015,NR
111016,NR
111017,NR
111018,NR
111019,NR
111020,NR
111021,NR
111022,NR
111023,NR
111024,NR
111025,NR
111026,NR
111027,NR
111028,NR
111029,NR
111030,NR
111031,NR
111032,NR
111033,NR
111034,NR
111035,NR
111036,NR
111037,NR
111038,NR
111039,NR
111040,NR
111041,NR
111042,NR
111043,NR
111044,NR
111045,NR
111046,NR
111047,NR
111048,NR
111049,NR
111050,NR
111051,NR
111052,NR
111053,NR
111054,NR
111055,NR
111056,NR
111057,NR
111058,NR
111059,NR
111060,NR
111061,NR
111062,NR
111063,NR
111064,NR
111065,NR
111066,NR
111067,NR
111068,NR
111069,NR
111070,NR
111071,NR
111072,NR
111073,NR
111074,NR
111075,NR
111076,NR
111077,NR
111078,NR
111079,NR
111080,NR
111081,NR
111082,NR
111083,NR
111084,NR
111085,NR
111086,NR
111087,NR
111088,NR
111089,NR
111090,NR
111091,NR
111092,NR
111093,NR
111094,NR
111095,NR
111096,NR
111097,NR
111098,NR
111099,NR
111100,NR
111101,NR
111102,NR
111103,NR
111104,NR
111105,NR
111106,NR
111107,NR
111108,NR
111109,NR
111110,NR
111111,NR
111112,NR
111113,NR
111114,NR
121000,NR
121001,NR
121002,NR
121003,NR
121004,NR
121005,NR
121006,NR
121007,NR
121008,NR
121009,NR
121010,NR
121011,NR
121012,NR
121013,NR
121014,NR
121015,NR
121016,NR
121017,NR
121018,NR
121019,NR
121020,NR
121021,NR
121022,NR
121023,NR
121024,NR
121025,NR
121026,NR
121027,NR
121028,NR
121029,NR
121030,NR
121031,NR
121032,NR
121033,NR
121034,NR
121035,NR
121036,NR
121037,NR
121038,NR
121039,NR
121040,NR
121041,NR
121042,NR
121043,NR
121044,NR
121045,NR
121046,NR
121047,NR
121048,NR
121049,NR
121050,NR
121051,NR
121052,NR
121053,NR
121054,NR
121055,NR
121056,NR
121057,NR
121058,NR
121059,NR
121060,NR
121061,NR
121062,NR
121063,NR
121064,NR
121065,NR
121066,NR
121067,NR
121068,NR
121069,NR
121070,NR
121071,NR
121072,NR
121073,NR
121074,NR
121075,NR
121076,NR
121077,NR
121078,NR
121079,NR
121080,NR
121081,NR
121082,NR
121083,NR
121084,NR
121085,NR
121086,NR
121087,NR
121088,NR
121089,NR
121090,NR
121091,NR
121092,NR
121093,NR
121094,NR
121095,NR
121096,NR
121097,NR
121098,NR
121099,NR
121100,NR
121101,NR
121102,NR
121103,NR
121104,NR
121105,NR
121106,NR
121107,NR
121108,NR
121109,NR
121110,NR
121111,NR
121112,NR
121113,NR
121114,NR
121115,NR
121116,NR
121117,NR
121118,NR
121119,NR
121120,NR
121121,NR
121122,NR
121123,NR
121124,NR
121125,NR
121126,NR
121127,NR
121128,NR
121129,NR
121130,NR
121131,NR
121132,NR
121133,NR
121134,NR
121135,NR
121136,NR
121137,NR
121138,NR
121139,NR
121140,NR
121141,NR
121142,NR
121143,NR
121144,NR
121145,NR
121146,NR
121147,NR
121148,NR
121149,NR
121150,NR
121151,NR
121152,NR
121153,NR
121154,NR
121155,NR
121156,NR
121157,NR
121158,NR
121159,NR
121160,NR
121161,NR
121162,NR
121163,NR
121164,NR
121165,NR
121166,NR
121167,NR
121168,NR
121169,NR
121170,NR
121171,NR
121172,NR
121173,NR
121174,NR
121175,NR
121176,NR
121177,NR
121178,NR
121179,NR
121180,NR
121181,NR
121182,NR
121183,NR
121184,NR
121185,NR
121186,NR
121187,NR
121188,NR
121189,NR
121190,NR
121191,NR
121192,NR
121193,NR
121194,NR
121195,NR
121196,NR
121197,NR
121198,NR
121199,NR
121200,NR
121201,NR
121202,NR
121203,NR
121204,NR
121205,NR
121206,NR
121207,NR
121208,NR
121209,NR
121210,NR
121211,NR
121212,NR
