BusNumber,RegionName
511079,ANDHRA PRADESH
511214,ANDHRA PRADESH
512001,ANDHRA PRADESH
512005,ANDHRA PRADESH
512006,ANDHRA PRADESH
512007,ANDHRA PRADESH
512008,ANDHRA PRADESH
512013,ANDHRA PRADESH
512016,ANDHRA PRADESH
512017,ANDHRA PRADESH
512019,ANDHRA PRADESH
512024,ANDHRA PRADESH
512025,ANDHRA PRADESH
512026,ANDHRA PRADESH
512031,ANDHRA PRADESH
512032,ANDHRA PRADESH
512034,ANDHRA PRADESH
512035,ANDHRA PRADESH
512037,ANDHRA PRADESH
512038,ANDHRA PRADESH
512039,ANDHRA PRADESH
512040,ANDHRA PRADESH
512041,ANDHRA PRADESH
512042,ANDHRA PRADESH
512043,ANDHRA PRADESH
512044,ANDHRA PRADESH
512045,ANDHRA PRADESH
512048,ANDHRA PRADESH
512050,ANDHRA PRADESH
512057,ANDHRA PRADESH
512058,ANDHRA PRADESH
512059,ANDHRA PRADESH
512061,ANDHRA PRADESH
512063,ANDHRA PRADESH
512064,ANDHRA PRADESH
512065,ANDHRA PRADESH
512066,ANDHRA PRADESH
512067,ANDHRA PRADESH
512071,ANDHRA PRADESH
512072,ANDHRA PRADESH
512073,ANDHRA PRADESH
512074,ANDHRA PRADESH
512075,ANDHRA PRADESH
512076,ANDHRA PRADESH
512077,ANDHRA PRADESH
512080,ANDHRA PRADESH
512081,ANDHRA PRADESH
512083,ANDHRA PRADESH
512084,ANDHRA PRADESH
512085,ANDHRA PRADESH
512087,ANDHRA PRADESH
512097,ANDHRA PRADESH
512101,ANDHRA PRADESH
512103,ANDHRA PRADESH
512104,ANDHRA PRADESH
512105,ANDHRA PRADESH
512107,ANDHRA PRADESH
512108,ANDHRA PRADESH
512109,ANDHRA PRADESH
512110,ANDHRA PRADESH
512111,ANDHRA PRADESH
512112,ANDHRA PRADESH
512113,ANDHRA PRADESH
512114,ANDHRA PRADESH
512115,ANDHRA PRADESH
512116,ANDHRA PRADESH
512117,ANDHRA PRADESH
512130,ANDHRA PRADESH
512132,ANDHRA PRADESH
512133,ANDHRA PRADESH
512134,ANDHRA PRADESH
512135,ANDHRA PRADESH
512136,ANDHRA PRADESH
512137,ANDHRA PRADESH
512224,ANDHRA PRADESH
512235,ANDHRA PRADESH
514005,ANDHRA PRADESH
514006,ANDHRA PRADESH
514007,ANDHRA PRADESH
514008,ANDHRA PRADESH
514010,ANDHRA PRADESH
514013,ANDHRA PRADESH
514014,ANDHRA PRADESH
514015,ANDHRA PRADESH
514016,ANDHRA PRADESH
514017,ANDHRA PRADESH
514018,ANDHRA PRADESH
514019,ANDHRA PRADESH
514024,ANDHRA PRADESH
514025,ANDHRA PRADESH
514026,ANDHRA PRADESH
514027,ANDHRA PRADESH
514028,ANDHRA PRADESH
514030,ANDHRA PRADESH
514039,ANDHRA PRADESH
514042,ANDHRA PRADESH
514050,ANDHRA PRADESH
514057,ANDHRA PRADESH
514066,ANDHRA PRADESH
514081,ANDHRA PRADESH
514088,ANDHRA PRADESH
514089,ANDHRA PRADESH
514090,ANDHRA PRADESH
514091,ANDHRA PRADESH
514092,ANDHRA PRADESH
514093,ANDHRA PRADESH
514094,ANDHRA PRADESH
514096,ANDHRA PRADESH
514097,ANDHRA PRADESH
514098,ANDHRA PRADESH
514099,ANDHRA PRADESH
514103,ANDHRA PRADESH
514111,ANDHRA PRADESH
514132,ANDHRA PRADESH
514133,ANDHRA PRADESH
514203,ANDHRA PRADESH
514401,ANDHRA PRADESH
514402,ANDHRA PRADESH
514403,ANDHRA PRADESH
514996,ANDHRA PRADESH
514997,ANDHRA PRADESH
514998,ANDHRA PRADESH
514999,ANDHRA PRADESH
518007,ANDHRA PRADESH
518018,ANDHRA PRADESH
518026,ANDHRA PRADESH
518028,ANDHRA PRADESH
518091,ANDHRA PRADESH
518092,ANDHRA PRADESH
518093,ANDHRA PRADESH
518095,ANDHRA PRADESH
518099,ANDHRA PRADESH
518401,ANDHRA PRADESH
518402,ANDHRA PRADESH
212096,ASSAM
212097,ASSAM
212098,ASSAM
212099,ASSAM
214413,ASSAM
221010,ARUNACHAL PRADESH
221020,ARUNACHAL PRADESH
221050,ARUNACHAL PRADESH
221101,ARUNACHAL PRADESH
221102,ARUNACHAL PRADESH
221110,ARUNACHAL PRADESH
221150,ARUNACHAL PRADESH
221340,ARUNACHAL PRADESH
221460,ARUNACHAL PRADESH
221500,ARUNACHAL PRADESH
222030,ARUNACHAL PRADESH
224001,ARUNACHAL PRADESH
224002,ARUNACHAL PRADESH
224003,ARUNACHAL PRADESH
224004,ARUNACHAL PRADESH
224050,ARUNACHAL PRADESH
224323,ARUNACHAL PRADESH
224325,ARUNACHAL PRADESH
224412,ARUNACHAL PRADESH
224414,ARUNACHAL PRADESH
224415,ARUNACHAL PRADESH
211001,ASSAM
211002,ASSAM
211003,ASSAM
211004,ASSAM
211005,ASSAM
211006,ASSAM
211007,ASSAM
211008,ASSAM
211009,ASSAM
211010,ASSAM
211020,ASSAM
211021,ASSAM
211022,ASSAM
211024,ASSAM
211025,ASSAM
211026,ASSAM
211027,ASSAM
211028,ASSAM
211029,ASSAM
211030,ASSAM
211031,ASSAM
211032,ASSAM
211033,ASSAM
211034,ASSAM
211035,ASSAM
211036,ASSAM
211037,ASSAM
211039,ASSAM
211040,ASSAM
211041,ASSAM
211042,ASSAM
211043,ASSAM
211045,ASSAM
211047,ASSAM
211048,ASSAM
211049,ASSAM
211050,ASSAM
211051,ASSAM
211053,ASSAM
211054,ASSAM
211055,ASSAM
211058,ASSAM
211059,ASSAM
211060,ASSAM
211061,ASSAM
211062,ASSAM
211063,ASSAM
211064,ASSAM
211065,ASSAM
211066,ASSAM
211067,ASSAM
211068,ASSAM
211069,ASSAM
211070,ASSAM
211080,ASSAM
211090,ASSAM
211094,ASSAM
211100,ASSAM
211110,ASSAM
211120,ASSAM
211130,ASSAM
211134,ASSAM
211135,ASSAM
211140,ASSAM
211150,ASSAM
211155,ASSAM
211160,ASSAM
211161,ASSAM
211165,ASSAM
211166,ASSAM
211168,ASSAM
211170,ASSAM
211171,ASSAM
211176,ASSAM
211177,ASSAM
211180,ASSAM
211190,ASSAM
211200,ASSAM
211201,ASSAM
211210,ASSAM
211215,ASSAM
211220,ASSAM
211230,ASSAM
211240,ASSAM
211244,ASSAM
211260,ASSAM
211280,ASSAM
211301,ASSAM
211302,ASSAM
211303,ASSAM
211304,ASSAM
211305,ASSAM
211306,ASSAM
211307,ASSAM
211308,ASSAM
211309,ASSAM
211310,ASSAM
211311,ASSAM
211312,ASSAM
211326,ASSAM
211328,ASSAM
211329,ASSAM
211330,ASSAM
211331,ASSAM
211332,ASSAM
211333,ASSAM
211334,ASSAM
211335,ASSAM
211336,ASSAM
211338,ASSAM
211339,ASSAM
211340,ASSAM
211341,ASSAM
211342,ASSAM
211350,ASSAM
211355,ASSAM
211370,ASSAM
211390,ASSAM
211450,ASSAM
211460,ASSAM
211510,ASSAM
211530,ASSAM
211540,ASSAM
211550,ASSAM
211570,ASSAM
211590,ASSAM
211600,ASSAM
211620,ASSAM
211630,ASSAM
211640,ASSAM
211650,ASSAM
211660,ASSAM
211670,ASSAM
211680,ASSAM
211690,ASSAM
211700,ASSAM
211740,ASSAM
211750,ASSAM
211760,ASSAM
211770,ASSAM
211800,ASSAM
211851,ASSAM
211940,ASSAM
211950,ASSAM
211960,ASSAM
211970,ASSAM
212000,ASSAM
212001,ASSAM
212015,ASSAM
212020,ASSAM
212021,ASSAM
212040,ASSAM
212041,ASSAM
212050,ASSAM
212075,ASSAM
212100,ASSAM
212150,ASSAM
212190,ASSAM
212201,ASSAM
212202,ASSAM
212250,ASSAM
212270,ASSAM
212322,ASSAM
212337,ASSAM
212343,ASSAM
212360,ASSAM
212380,ASSAM
212440,ASSAM
212470,ASSAM
212500,ASSAM
