Node,Region,Zone
100008_KISHENGR_66,CHANDIGARH,NR
100009_SEC-47T2_11,CHANDIGARH,NR
100010_SEC-47T1_11,CHANDIGARH,NR
100011_INDPH1T1_11,CHANDIGARH,NR
100012_INDPH1T2_11,CHANDIGARH,NR
100013_INDPH1T3_11,CHANDIGARH,NR
100014_INDPH1T4_11,CHANDIGARH,NR
100016_INPHIIT2_11,CHANDIGARH,NR
100017_INPHIIT3_11,CHANDIGARH,NR
100018_ITPRKT1_11,CHANDIGARH,NR
100019_SEC-56T1_11,CHANDIGARH,NR
100020_SEC-56T2_11,CHANDIGARH,NR
100021_SEC-52T5_11,CHANDIGARH,NR
100022_SEC-52T4_11,CHANDIGARH,NR
100023_SEC-52T3_11,CHANDIGARH,NR
100025_SEC-52T2_11,CHANDIGARH,NR
100026_SEC-52T1_11,CHANDIGARH,NR
100029_SEC-52T6_11,CHANDIGARH,NR
100031_SEC-12T1_11,CHANDIGARH,NR
100032_SEC-12T2_11,CHANDIGARH,NR
100033_SEC-12T3_11,CHANDIGARH,NR
100034_SEC-39T1_11,CHANDIGARH,NR
100035_SEC-39T2_11,CHANDIGARH,NR
100036_SEC-39T3_11,CHANDIGARH,NR
100038_SEC-01T1_11,CHANDIGARH,NR
100039_SEC-01T2_11,CHANDIGARH,NR
100040_SEC-18T1_11,CHANDIGARH,NR
100041_SEC-18T2_11,CHANDIGARH,NR
100042_SEC-18T3_11,CHANDIGARH,NR
100043_MANIMJR1_11,CHANDIGARH,NR
100044_MANIMJR2_11,CHANDIGARH,NR
100046_RAIPURK_11,CHANDIGARH,NR
100047_SRANGPR_11,CHANDIGARH,NR
100062_ITPRKT2_11,CHANDIGARH,NR
100065_SEC-17_11,CHANDIGARH,NR
100067_SEC-34T1_11,CHANDIGARH,NR
100068_RAIPRKLN_11,CHANDIGARH,NR
100069_SEC32T1_11,CHANDIGARH,NR
100070_SEC32T2_11,CHANDIGARH,NR
100071_SEC-32T3_11,CHANDIGARH,NR
100075_SEC-28T4_11,CHANDIGARH,NR
100076_SEC-28T5_11,CHANDIGARH,NR
100077_SEC-28T6_11,CHANDIGARH,NR
100078_ITPRKT3_11,CHANDIGARH,NR
100079_SARNGPR_11,CHANDIGARH,NR
100080_SEC-12T4_11,CHANDIGARH,NR
100081_CIVILT3_11,CHANDIGARH,NR
100085_L&T11_11,CHANDIGARH,NR
100093_INPH2T1_11,CHANDIGARH,NR
100098_SEC-12T4_11,CHANDIGARH,NR
100099_SEC-12T5_11,CHANDIGARH,NR
102255_MANIMJR1_220,CHANDIGARH,NR
103072_SEC-28T1_33,CHANDIGARH,NR
103073_SEC-28T2_33,CHANDIGARH,NR
103074_SEC-28T3_33,CHANDIGARH,NR
106045_RAIPRKLN_66,CHANDIGARH,NR
106048_SARANGPR_66,CHANDIGARH,NR
106049_SEC-17_66,CHANDIGARH,NR
106050_CHA_S39_66,CHANDIGARH,NR
106051_CHA_S12_66,CHANDIGARH,NR
106052_SEC-1_66,CHANDIGARH,NR
106053_MANIMJR2_66,CHANDIGARH,NR
106054_CHA_S28_66,CHANDIGARH,NR
106055_IA_PH_I_66,CHANDIGARH,NR
106056_IA_PH_II_66,CHANDIGARH,NR
106057_CHA_S32_66,CHANDIGARH,NR
106058_CHA_S47_66,CHANDIGARH,NR
106059_CHA_S52_66,CHANDIGARH,NR
106060_CHA_S56_66,CHANDIGARH,NR
106061_IT_PARK_66,CHANDIGARH,NR
106063_CHA_S18_66,CHANDIGARH,NR
106066_SEC-34_66,CHANDIGARH,NR
106090_INPH2SPT_66,CHANDIGARH,NR
106091_SEC52SPL_66,CHANDIGARH,NR
106095_INPH1SPT_66,CHANDIGARH,NR
106096_SEC28SPT_66,CHANDIGARH,NR
106097_SEC1SPT_66,CHANDIGARH,NR
111006_KATHUA1_132,JAMMU & KASHMIR,NR
111101_MIRBAZAR_132,JAMMU & KASHMIR,NR
111102_RAMBAN_132,JAMMU & KASHMIR,NR
111103_SHREE_132,JAMMU & KASHMIR,NR
111104_LOWERJHELUM1_132,JAMMU & KASHMIR,NR
111105_PATTAN1_132,JAMMU & KASHMIR,NR
111106_ZAINAKOT_132,JAMMU & KASHMIR,NR
111107_CHAMASHEHI_132,JAMMU & KASHMIR,NR
111108_UDAMPUR1_132,JAMMU & KASHMIR,NR
111109_ARAMGARH_132,JAMMU & KASHMIR,NR
111110_MAHANPUR_132,JAMMU & KASHMIR,NR
111111_AULSTENG_132,JAMMU & KASHMIR,NR
111112_MATTAN_132,JAMMU & KASHMIR,NR
111113_KATRA1_132,JAMMU & KASHMIR,NR
111114_JOURIAN1_132,JAMMU & KASHMIR,NR
111115_TETHAR_132,JAMMU & KASHMIR,NR
111116_KULGAM_132,JAMMU & KASHMIR,NR
111117_WANGANPURA1_132,JAMMU & KASHMIR,NR
111118_BEMINA1_132,JAMMU & KASHMIR,NR
111119_UPPERSIND_132,JAMMU & KASHMIR,NR
111120_RAWALPURA1_132,JAMMU & KASHMIR,NR
111121_AWANTIPURA_132,JAMMU & KASHMIR,NR
111122_LASSIPORA_132,JAMMU & KASHMIR,NR
111123_BARN1_132,JAMMU & KASHMIR,NR
111126_SHOPIAN_132,JAMMU & KASHMIR,NR
111127_KHANMOH_132,JAMMU & KASHMIR,NR
