BusNumber,ZoneName
511079,SR
511214,SR
512001,SR
512005,SR
512006,SR
512007,SR
512008,SR
512013,SR
512016,SR
512017,SR
512019,SR
512024,SR
512025,SR
512026,SR
512031,SR
512032,SR
512034,SR
512035,SR
512037,SR
512038,SR
512039,SR
512040,SR
512041,SR
512042,SR
512043,SR
512044,SR
512045,SR
512048,SR
512050,SR
512057,SR
512058,SR
512059,SR
512061,SR
512063,SR
512064,SR
512065,SR
512066,SR
512067,SR
512071,SR
512072,SR
512073,SR
512074,SR
512075,SR
512076,SR
512077,SR
512080,SR
512081,SR
512083,SR
512084,SR
512085,SR
512087,SR
512097,SR
512101,SR
512103,SR
512104,SR
512105,SR
512107,SR
512108,SR
512109,SR
512110,SR
512111,SR
512112,SR
512113,SR
512114,SR
512115,SR
512116,SR
512117,SR
512130,SR
512132,SR
512133,SR
512134,SR
512135,SR
512136,SR
512137,SR
512224,SR
512235,SR
514005,SR
514006,SR
514007,SR
514008,SR
514010,SR
514013,SR
514014,SR
514015,SR
514016,SR
514017,SR
514018,SR
514019,SR
514024,SR
514025,SR
514026,SR
514027,SR
514028,SR
514030,SR
514039,SR
514042,SR
514050,SR
514057,SR
514066,SR
514081,SR
514088,SR
514089,SR
514090,SR
514091,SR
514092,SR
514093,SR
514094,SR
514096,SR
514097,SR
514098,SR
514099,SR
514103,SR
514111,SR
514132,SR
514133,SR
514203,SR
514401,SR
514402,SR
514403,SR
514996,SR
514997,SR
514998,SR
514999,SR
518007,SR
518018,SR
518026,SR
518028,SR
518091,SR
518092,SR
518093,SR
518095,SR
518099,SR
518401,SR
518402,SR
212096,NER
212097,NER
212098,NER
212099,NER
214413,NER
221010,NER
221020,NER
221050,NER
221101,NER
221102,NER
221110,NER
221150,NER
221340,NER
221460,NER
221500,NER
222030,NER
224001,NER
224002,NER
224003,NER
224004,NER
224050,NER
224323,NER
224325,NER
224412,NER
224414,NER
224415,NER
211001,NER
211002,NER
211003,NER
211004,NER
211005,NER
211006,NER
211007,NER
211008,NER
211009,NER
211010,NER
211020,NER
211021,NER
211022,NER
211024,NER
211025,NER
211026,NER
211027,NER
211028,NER
211029,NER
211030,NER
211031,NER
211032,NER
211033,NER
211034,NER
211035,NER
211036,NER
211037,NER
211039,NER
211040,NER
211041,NER
211042,NER
211043,NER
211045,NER
211047,NER
211048,NER
211049,NER
211050,NER
211051,NER
211053,NER
211054,NER
211055,NER
211058,NER
211059,NER
211060,NER
211061,NER
211062,NER
211063,NER
211064,NER
211065,NER
211066,NER
211067,NER
211068,NER
211069,NER
211070,NER
211080,NER
211090,NER
211094,NER
211100,NER
211110,NER
211120,NER
211130,NER
211134,NER
211135,NER
211140,NER
211150,NER
211155,NER
211160,NER
211161,NER
211165,NER
211166,NER
211168,NER
211170,NER
211171,NER
211176,NER
211177,NER
211180,NER
211190,NER
211200,NER
211201,NER
211210,NER
211215,NER
211220,NER
211230,NER
211240,NER
211244,NER
211260,NER
211280,NER
211301,NER
211302,NER
211303,NER
211304,NER
211305,NER
211306,NER
211307,NER
211308,NER
211309,NER
211310,NER
211311,NER
211312,NER
211326,NER
211328,NER
211329,NER
211330,NER
211331,NER
211332,NER
211333,NER
211334,NER
211335,NER
211336,NER
211338,NER
211339,NER
211340,NER
211341,NER
211342,NER
211350,NER
211355,NER
211370,NER
211390,NER
211450,NER
211460,NER
211510,NER
211530,NER
211540,NER
211550,NER
211570,NER
211590,NER
211600,NER
211620,NER
211630,NER
211640,NER
211650,NER
211660,NER
211670,NER
211680,NER
211690,NER
211700,NER
211740,NER
211750,NER
211760,NER
211770,NER
211800,NER
211851,NER
211940,NER
211950,NER
211960,NER
211970,NER
212000,NER
212001,NER
212015,NER
212020,NER
212021,NER
212040,NER
212041,NER
212050,NER
212075,NER
212100,NER
212150,NER
212190,NER
212201,NER
212202,NER
212250,NER
212270,NER
212322,NER
212337,NER
212343,NER
212360,NER
212380,NER
212440,NER
212470,NER
212500,NER
212531,NER
212610,NER
213301,NER
213302,NER
213304,NER
213305,NER
213306,NER
213307,NER
213308,NER
213309,NER
214010,NER
214015,NER
214030,NER
214044,NER
214050,NER
214051,NER
214151,NER
214170,NER
214321,NER
214411,NER
214560,NER
216071,NER
216075,NER
216076,NER
216080,NER
216090,NER
216091,NER
216820,NER
216830,NER
216840,NER
216850,NER
216860,NER
216890,NER
216900,NER
216980,NER
444102,BANGLADESH
444104,BANGLADESH
280001,BHUTAN
281101,BHUTAN
281102,BHUTAN
281103,BHUTAN
281104,BHUTAN
281105,BHUTAN
281106,BHUTAN
281107,BHUTAN
281108,BHUTAN
281109,BHUTAN
281110,BHUTAN
281111,BHUTAN
281201,BHUTAN
281303,BHUTAN
282001,BHUTAN
282002,BHUTAN
282007,BHUTAN
282031,BHUTAN
282202,BHUTAN
282203,BHUTAN
282204,BHUTAN
282205,BHUTAN
282206,BHUTAN
282612,BHUTAN
283300,BHUTAN
283301,BHUTAN
283302,BHUTAN
283304,BHUTAN
283305,BHUTAN
283306,BHUTAN
283307,BHUTAN
283308,BHUTAN
283309,BHUTAN
284001,BHUTAN
284002,BHUTAN
284003,BHUTAN
284008,BHUTAN
284009,BHUTAN
284010,BHUTAN
284011,BHUTAN
284012,BHUTAN
284013,BHUTAN
284079,BHUTAN
286606,BHUTAN
286607,BHUTAN
286611,BHUTAN
286613,BHUTAN
420003,BHUTAN
410001,ER
411000,ER
411001,ER
411002,ER
411003,ER
411004,ER
411005,ER
411006,ER
411007,ER
411008,ER
411009,ER
411010,ER
411013,ER
411014,ER
411017,ER
411020,ER
411021,ER
411022,ER
411023,ER
411024,ER
411025,ER
411027,ER
411028,ER
411029,ER
411030,ER
411031,ER
411032,ER
411033,ER
411034,ER
411035,ER
411036,ER
411037,ER
411038,ER
411039,ER
411040,ER
411041,ER
411042,ER
411043,ER
411044,ER
411045,ER
411046,ER
411047,ER
411048,ER
411049,ER
411050,ER
411052,ER
411053,ER
411056,ER
411057,ER
411058,ER
411059,ER
411063,ER
411064,ER
411065,ER
411066,ER
411067,ER
411068,ER
411069,ER
411070,ER
411071,ER
411072,ER
411075,ER
411076,ER
411077,ER
411078,ER
411079,ER
411080,ER
411081,ER
411082,ER
411083,ER
411084,ER
411087,ER
411089,ER
411090,ER
411091,ER
411092,ER
411094,ER
411096,ER
411097,ER
411098,ER
411099,ER
411101,ER
411102,ER
411103,ER
411104,ER
411105,ER
411106,ER
411107,ER
411108,ER
411109,ER
411110,ER
411111,ER
411112,ER
411113,ER
411114,ER
411115,ER
411116,ER
411117,ER
411121,ER
411124,ER
411125,ER
411126,ER
411127,ER
411128,ER
411129,ER
411130,ER
412001,ER
412002,ER
412003,ER
412004,ER
412005,ER
412006,ER
412007,ER
412008,ER
412009,ER
412010,ER
412011,ER
412013,ER
412017,ER
412020,ER
412021,ER
412024,ER
412025,ER
412026,ER
412027,ER
412028,ER
412037,ER
412042,ER
412043,ER
412044,ER
412045,ER
412051,ER
412054,ER
412057,ER
412058,ER
412067,ER
412071,ER
412075,ER
412076,ER
412077,ER
412079,ER
412085,ER
412090,ER
412093,ER
412094,ER
412095,ER
412101,ER
412102,ER
412207,ER
412214,ER
412215,ER
412217,ER
414001,ER
414004,ER
414005,ER
414006,ER
414008,ER
414010,ER
414013,ER
414020,ER
414031,ER
414052,ER
414066,ER
414068,ER
414071,ER
414072,ER
414078,ER
414090,ER
414091,ER
414093,ER
414094,ER
414095,ER
414102,ER
414405,ER
414410,ER
414471,ER
414491,ER
414492,ER
414900,ER
418008,ER
418091,ER
418892,ER
431055,ER
13099,NR
100008,NR
100009,NR
100010,NR
100011,NR
100012,NR
100013,NR
100014,NR
100016,NR
100017,NR
100018,NR
100019,NR
100020,NR
100021,NR
100022,NR
100023,NR
100025,NR
100026,NR
100029,NR
100031,NR
100032,NR
100033,NR
100034,NR
100035,NR
100036,NR
100038,NR
100039,NR
100040,NR
100041,NR
100042,NR
100043,NR
100044,NR
100046,NR
100047,NR
100062,NR
100065,NR
100067,NR
100068,NR
100069,NR
100070,NR
100071,NR
100075,NR
100076,NR
100077,NR
100078,NR
100079,NR
100080,NR
100081,NR
100085,NR
100093,NR
100098,NR
100099,NR
102255,NR
103072,NR
103073,NR
103074,NR
106045,NR
106048,NR
106049,NR
106050,NR
106051,NR
106052,NR
106053,NR
106054,NR
106055,NR
106056,NR
106057,NR
106058,NR
106059,NR
106060,NR
106061,NR
106063,NR
106066,NR
106090,NR
106091,NR
106095,NR
106096,NR
106097,NR
122322,NR
132250,NR
136056,NR
182260,NR
184460,NR
311001,WR
311002,WR
311003,WR
311004,WR
311005,WR
