Transformer,Node From,Node To,kV.From,kV.To,Rating,Resistance,Reactance,Status
106058_100009_1_tfmr,106058_CHA_S47_66,100009_SEC-47T2_11,66,11,16,0,0.625,0
106058_100010_1_tfmr,106058_CHA_S47_66,100010_SEC-47T1_11,66,11,16,0,0.625,0
106055_100011_1_tfmr,106055_IA_PH_I_66,100011_INDPH1T1_11,66,11,10,0,1.004,0
106055_100012_1_tfmr,106055_IA_PH_I_66,100012_INDPH1T2_11,66,11,10,0,0.954,0
106055_100013_1_tfmr,106055_IA_PH_I_66,100013_INDPH1T3_11,66,11,10,0,1.003,0
106055_100014_1_tfmr,106055_IA_PH_I_66,100014_INDPH1T4_11,66,11,16,0,0.625,0
106056_100016_1_tfmr,106056_IA_PH_II_66,100016_INPHIIT2_11,66,11,10,0,0.987,0
106056_100017_1_tfmr,106056_IA_PH_II_66,100017_INPHIIT3_11,66,11,16,0,0.625,0
106061_100018_1_tfmr,106061_IT_PARK_66,100018_ITPRKT1_11,66,11,10,0,0.946,0
106060_100019_1_tfmr,106060_CHA_S56_66,100019_SEC-56T1_11,66,11,16,0,0.589,0
106060_100020_1_tfmr,106060_CHA_S56_66,100020_SEC-56T2_11,66,11,16,0,0.578,0
182207_100020_1_tfmr,182207_BHIWANI_220,100020_SEC-56T2_11,220,11,100,0,0.125,0
106059_100021_1_tfmr,106059_CHA_S52_66,100021_SEC-52T5_11,66,11,16,0,0.638,0
106059_100022_1_tfmr,106059_CHA_S52_66,100022_SEC-52T4_11,66,11,16,0,0.631,0
106059_100023_1_tfmr,106059_CHA_S52_66,100023_SEC-52T3_11,66,11,10,0,0.909,0
106059_100025_1_tfmr,106059_CHA_S52_66,100025_SEC-52T2_11,66,11,10.5,0,1.006,0
106059_100026_1_tfmr,106059_CHA_S52_66,100026_SEC-52T1_11,66,11,10,0,1.036,0
106091_100029_1_tfmr,106091_SEC52SPL_66,100029_SEC-52T6_11,66,11,30,0,0.35,0
106051_100031_1_tfmr,106051_CHA_S12_66,100031_SEC-12T1_11,66,11,10,0,0.928,0
106051_100032_1_tfmr,106051_CHA_S12_66,100032_SEC-12T2_11,66,11,10,0,0.986,0
106051_100033_1_tfmr,106051_CHA_S12_66,100033_SEC-12T3_11,66,11,10,0,1,0
106050_100034_1_tfmr,106050_CHA_S39_66,100034_SEC-39T1_11,66,11,10,0,1.069,0
106050_100035_1_tfmr,106050_CHA_S39_66,100035_SEC-39T2_11,66,11,16,0,0.65,0
106050_100036_1_tfmr,106050_CHA_S39_66,100036_SEC-39T3_11,66,11,10,0,0.981,0
106052_100038_1_tfmr,106052_SEC-1_66,100038_SEC-01T1_11,66,11,10,0,1.012,0
106052_100039_1_tfmr,106052_SEC-1_66,100039_SEC-01T2_11,66,11,10,0,0.933,0
106063_100040_1_tfmr,106063_CHA_S18_66,100040_SEC-18T1_11,66,11,10,0,0.911,0
106063_100041_1_tfmr,106063_CHA_S18_66,100041_SEC-18T2_11,66,11,10,0,0.911,0
106063_100042_1_tfmr,106063_CHA_S18_66,100042_SEC-18T3_11,66,11,16,0,0.620625,0
106053_100043_1_tfmr,106053_MANIMJR2_66,100043_MANIMJR1_11,66,11,16,0,0.676,0
106053_100044_1_tfmr,106053_MANIMJR2_66,100044_MANIMJR2_11,66,11,16,0,0.665,0
106045_100046_1_tfmr,106045_RAIPRKLN_66,100046_RAIPURK_11,66,11,16,0,0.625,0
106048_100047_1_tfmr,106048_SARANGPR_66,100047_SRANGPR_11,66,11,16,0,0.625,0
106061_100062_1_tfmr,106061_IT_PARK_66,100062_ITPRKT2_11,66,11,10,0,0.963,0
