Transformer,Node From,Node To,kV.From,kV.To,Rating,Resistance,Reactance,Status
106049_100065_1_tfmr,106049_SEC-17_66,100065_SEC-17_11,66,11,16,0,0.625,0
106066_100067_1_tfmr,106066_SEC-34_66,100067_SEC-34T1_11,66,11,30,0,0.35,0
106045_100068_1_tfmr,106045_RAIPRKLN_66,100068_RAIPRKLN_11,66,11,16,0,0.625,0
106057_100069_1_tfmr,106057_CHA_S32_66,100069_SEC32T1_11,66,11,10,0,0.93658,0
106057_100070_1_tfmr,106057_CHA_S32_66,100070_SEC32T2_11,66,11,10,0,0.95474,0
106096_100075_2_tfmr,106096_SEC28SPT_66,100075_SEC-28T4_11,66,11,10,0,1.015,0
106096_100076_1_tfmr,106096_SEC28SPT_66,100076_SEC-28T5_11,66,11,10,0,0.825,0
106096_100077_1_tfmr,106096_SEC28SPT_66,100077_SEC-28T6_11,66,11,10,0,1.96,0
106061_100078_1_tfmr,106061_IT_PARK_66,100078_ITPRKT3_11,66,11,16,0,0.625,0
106048_100079_1_tfmr,106048_SARANGPR_66,100079_SARNGPR_11,66,11,16,0,0.625,0
106051_100080_1_tfmr,106051_CHA_S12_66,100080_SEC-12T4_11,66,11,10,0,1,0
106052_100081_1_tfmr,106052_SEC-1_66,100081_CIVILT3_11,66,11,10,0,0.933,0
106056_100093_1_tfmr,106056_IA_PH_II_66,100093_INPH2T1_11,66,11,10,0,0.987,0
106051_100098_1_tfmr,106051_CHA_S12_66,100098_SEC-12T4_11,66,11,10,0,0.928,0
106051_100099_1_tfmr,106051_CHA_S12_66,100099_SEC-12T5_11,66,11,10,0,0.928,0
263006_260002_1_tfmr,263006_SBUNGTLANG_33,260002_SBUNGTLANG_11,33,11,3.1,0,2,1
263006_260002_2_tfmr,263006_SBUNGTLANG_33,260002_SBUNGTLANG_11,33,11,3.1,0,2,1
106054_103072_1_tfmr,106054_CHA_S28_66,103072_SEC-28T1_33,66,33,10,0,1.96,0
106054_103073_1_tfmr,106054_CHA_S28_66,103073_SEC-28T2_33,66,33,20,0,0.625,1
106054_103074_1_tfmr,106054_CHA_S28_66,103074_SEC-28T3_33,66,33,16,0,0.462,1
122902_123003_1_tfmr,122902_BADDI2_220,123003_BADDI_33,220,33,25,0,0.48,1
182200_143021_1_tfmr,182200_PANIPAT_220,143021_SEWAH_33,220,33,60,0,0.208,1
182200_143021_2_tfmr,182200_PANIPAT_220,143021_SEWAH_33,220,33,60,0,0.208,1
142244_143045_1_tfmr,142244_GURGAON-72_220,143045_GURGAON-72_33,220,33,100,0,0.0125,1
142246_143046_1_tfmr,142246_MASUDPUR_220,143046_MASUDPUR_33,220,33,100,0,0.125,1
142265_143050_1_tfmr,142265_SAGWAN_220,143050_SAGWAN_33,220,33,100,0,0.125,0
142255_143054_1_tfmr,142255_MAU_HR_220,143054_MAU_HR_33,220,33,100,0,0.1077,1
142257_143057_1_tfmr,142257_CHORMAR_220,143057_CHORMAR_33,220,33,100,1e-05,0.125,1
142260_143060_1_tfmr,142260_DHANONDA_220,143060_DHANONDA_33,220,33,100,0,0.125,1
142261_143061_1_tfmr,142261_DADHIBANA_220,143061_DADHIBANA_33,220,33,100,0,0.125,1
142262_143062_1_tfmr,142262_LULAAHIR_220,143062_LULAAHIR_33,220,33,100,1e-05,0.125,1
142252_143063_1_tfmr,142252_MOHANA_220,143063_MOHANA_33,220,33,100,0,0.125,1
142264_143064_1_tfmr,142264_BATTA_220,143064_BATTA_33,220,33,100,0,0.125,0
142268_143068_1_tfmr,142268_RAMPRKAMBOY_220,143068_NEWRAMPUR_33,220,33,100,0,0.125,1
142269_143069_1_tfmr,142269_NAWADA_220,143069_NAWADA_33,220,33,100,0,0.125,0
142273_143072_1_tfmr,142273_RANGALA_RAJP_220,143072_RANGALA_RAJ_33,220,33,100,0,0.125,1
152227_153000_1_tfmr,152227_RIDGEVALLEY_220,153000_RIDGEVALLEY_33,220,33,160,0,0.0921,1
152227_153000_2_tfmr,152227_RIDGEVALLEY_220,153000_RIDGEVALLEY_33,220,33,160,0,0.0921,1
152206_153006_1_tfmr,152206_INDRPA2_220,153006_RAJGHATG_33,220,33,100,0,0.125,1
152206_153006_2_tfmr,152206_INDRPA2_220,153006_RAJGHATG_33,220,33,100,0,0.128,1
152206_153006_3_tfmr,152206_INDRPA2_220,153006_RAJGHATG_33,220,33,100,0,0.1474,1
152218_153012_2_tfmr,152218_BURARI_220,153012_BURARI_33,220,33,100,0,0.1487,1
152218_153012_3_tfmr,152218_BURARI_220,153012_BURARI_33,220,33,100,0,0.1578,1
152208_153013_3_tfmr,152208_OKHLA2_220,153013_OKHLA_33,220,33,100,0,0.1548,1
152208_153013_4_tfmr,152208_OKHLA2_220,153013_OKHLA_33,220,33,100,0,0.1457,1
152208_153013_5_tfmr,152208_OKHLA2_220,153013_OKHLA_33,220,33,50,0,0.184,1
152208_153013_6_tfmr,152208_OKHLA2_220,153013_OKHLA_33,220,33,50,0,0.184,1
152215_153015_1_tfmr,152215_SABJIMANDI_220,153015_SABJIMANDI_33,220,33,100,0,0.1581,1
152215_153015_2_tfmr,152215_SABJIMANDI_220,153015_SABJIMANDI_33,220,33,100,0,0.1473,1
152216_153016_1_tfmr,152216_SHAHBAGH2_220,153016_SHAHBAGH_33,220,33,100,0,0.1087,1
152216_153016_2_tfmr,152216_SHAHBAGH2_220,153016_SHAHBAGH_33,220,33,100,0,0.1087,1
152216_153016_3_tfmr,152216_SHAHBAGH2_220,153016_SHAHBAGH_33,220,33,100,0,0.1087,1
152221_153021_1_tfmr,152221_NARAINA_220,153021_NARAINA_33,220,33,100,0,0.1447,1
152221_153021_2_tfmr,152221_NARAINA_220,153021_NARAINA_33,220,33,100,0,0.1586,1
152221_153021_3_tfmr,152221_NARAINA_220,153021_NARAINA_33,220,33,100,0,0.1491,1
152222_153023_1_tfmr,152222_DELHI-RR_220,153023_ROHTAK33_33,220,33,100,0,0.1487,1
152222_153023_2_tfmr,152222_DELHI-RR_220,153023_ROHTAK33_33,220,33,100,0,0.1453,1
152222_153023_3_tfmr,152222_DELHI-RR_220,153023_ROHTAK33_33,220,33,100,0,0.0924,1
152219_153024_3_tfmr,152219_PARKSTREET_220,153024_PARKSTREET_33,220,33,100,0,0.1574,1
152219_153024_4_tfmr,152219_PARKSTREET_220,153024_PARKSTREET_33,220,33,100,0,0.1574,1
152226_153026_1_tfmr,152226_LODIROAD2_220,153026_LODIROAD_33,220,33,100,0,0.155,1
152226_153026_2_tfmr,152226_LODIROAD2_220,153026_LODIROAD_33,220,33,100,0,0.1545,1
152205_153029_3_tfmr,152205_PATPARGANJ2_220,153029_PATPARGANJ_33,220,33,100,0,0.1525,1
152205_153029_4_tfmr,152205_PATPARGANJ2_220,153029_PATPARGANJ_33,220,33,100,0,0.1472,1
152205_153029_5_tfmr,152205_PATPARGANJ2_220,153029_PATPARGANJ_33,220,33,100,0,0.1472,1
152205_153029_6_tfmr,152205_PATPARGANJ2_220,153029_PATPARGANJ_33,220,33,50,0,0.186,1
152230_153030_1_tfmr,152230_GEETACOLONY_220,153030_GEETACOLONY_33,220,33,100,0,0.1087,1
152230_153030_2_tfmr,152230_GEETACOLONY_220,153030_GEETACOLONY_33,220,33,100,0,0.1087,1
152232_153032_1_tfmr,152232_KASHMIRIGATE_220,153032_KASHMIRIGATE_33,220,33,100,0,0.1459,1
152232_153032_2_tfmr,152232_KASHMIRIGATE_220,153032_KASHMIRIGATE_33,220,33,100,0,0.1459,1
152235_153035_1_tfmr,152235_MASJIDMOTH_220,153035_MASJIDMOTH_33,220,33,100,0,0.1087,1
152235_153035_2_tfmr,152235_MASJIDMOTH_220,153035_MASJIDMOTH_33,220,33,100,0,0.1087,1
152236_153036_1_tfmr,152236_AIIMS_220,153036_AIIMS_33,220,33,100,0,0.1087,1
152236_153036_2_tfmr,152236_AIIMS_220,153036_AIIMS_33,220,33,100,0,0.1087,1
152237_153037_1_tfmr,152237_ELECTRICLANE_220,153037_ELECTRICLANE_33,220,33,160,0,0.07813,1
152237_153037_2_tfmr,152237_ELECTRICLANE_220,153037_ELECTRICLANE_33,220,33,160,0,0.07813,1
172220_173020_1_tfmr,172220_KANPU_SO_220,173020_KANPU_SO_33,220,33,180,0,0.069444,0
211303_213301_1_tfmr,211303_GUWT-MEDCOL1_132,213301_GUWT-MEDCOL3_33,132,33,100,0.00625,0.125,1
211304_213302_1_tfmr,211304_CHAPAKHOWA1_132,213302_CHAPAKHOWA3_33,132,33,25,0.025,0.5,1
211306_213304_1_tfmr,211306_HAZO1_132,213304_HAZO3_33,132,33,63,0.00781,0.15625,1
211307_213305_1_tfmr,211307_PALTANBAZAR_132,213305_PALTNBAZAR3_33,132,33,100,0.00625,0.125,1
211308_213306_1_tfmr,211308_TANGLA1_132,213306_TANGLA3_33,132,33,63,0.00781,0.15625,1
211309_213307_1_tfmr,211309_SARUPATHAR1_132,213307_SARUPATHAR3_33,132,33,25,0.025,0.5,1
211309_213307_2_tfmr,211309_SARUPATHAR1_132,213307_SARUPATHAR3_33,132,33,25,0.025,0.5,1
211310_213308_1_tfmr,211310_TEZPUR-NEW_132,213308_TEZPUR-NEW_33,132,33,100,0.00625,0.125,1
211311_213309_1_tfmr,211311_TEOK1_132,213309_TEOK3_33,132,33,63,0.00781,0.15625,1
231302_233001_1_tfmr,231302_NEWSHILLONG_132,233001_NEWSHILLONG_33,132,33,50,0,0.25,1
231302_233001_2_tfmr,231302_NEWSHILLONG_132,233001_NEWSHILLONG_33,132,33,50,0,0.25,1
231303_233002_1_tfmr,231303_MYNKRE_132,233002_MYNKRE_33,132,33,50,0,0.25,1
231303_233002_2_tfmr,231303_MYNKRE_132,233002_MYNKRE_33,132,33,50,0,0.25,1
231304_233003_1_tfmr,231304_PHULBARI_132,233003_PHULBARI_33,132,33,50,0,0.25,1
231304_233003_2_tfmr,231304_PHULBARI_132,233003_PHULBARI_33,132,33,50,0,0.25,1
231305_233005_1_tfmr,231305_AMPATI_132,233005_AMPATI_33,132,33,25,0,0.5,1
231305_233005_2_tfmr,231305_AMPATI_132,233005_AMPATI_33,132,33,25,0,0.5,1
231031_233032_1_tfmr,231031_MENDIPATHAR_132,233032_MENDIPATHAR_33,132,33,20,0,0.625,1
231031_233032_2_tfmr,231031_MENDIPATHAR_132,233032_MENDIPATHAR_33,132,33,20,0,0.625,1
241006_243007_1_tfmr,241006_NEWKOHIMA_132,243007_NEWKOHIMA_33,132,33,10,0,1.25,1
251301_253001_1_tfmr,251301_GAMPHAJOL_132,253001_GAMPHAJOL_33,132,33,20,0,0.625,1
251301_253001_2_tfmr,251301_GAMPHAJOL_132,253001_GAMPHAJOL_33,132,33,20,0,0.625,1
251302_253002_1_tfmr,251302_THOUBAL_132,253002_THOUBAL_33,132,33,20,0,0.625,1
251302_253002_2_tfmr,251302_THOUBAL_132,253002_THOUBAL_33,132,33,20,0,0.625,1
251041_253042_1_tfmr,251041_UKHRUL_132,253042_UKHRUL_33,132,33,12.5,0,1,1
251041_253042_2_tfmr,251041_UKHRUL_132,253042_UKHRUL_33,132,33,12.5,0,1,1
251043_253044_1_tfmr,251043_CHANDEL_132,253044_CHANDEL_33,132,33,12.5,0,1,1
251043_253044_2_tfmr,251043_CHANDEL_132,253044_CHANDEL_33,132,33,12.5,0,1,1
261301_263001_1_tfmr,261301_LUNGSEN_132,263001_LUNGSEN_33,132,33,12.5,0,1,1
261301_263001_2_tfmr,261301_LUNGSEN_132,263001_LUNGSEN_33,132,33,12.5,0,1,1
261302_263002_1_tfmr,261302_WPHAILENG_132,263002_WPHAILENG_33,132,33,12.5,0,1,1
261302_263002_2_tfmr,261302_WPHAILENG_132,263002_WPHAILENG_33,132,33,12.5,0,1,1
261303_263003_1_tfmr,261303_MARPARA_132,263003_MARPARA_33,132,33,12.5,0,1,1
261303_263003_2_tfmr,261303_MARPARA_132,263003_MARPARA_33,132,33,12.5,0,1,1
281101_283300_1_tfmr,281101_MOTANGA1_132,283300_MOTANGA33_33,132,33,10,0,0.3,1
286606_283309_1_tfmr,286606_RURICHU66_66,283309_RURICHU33_33,66,33,160,0,0.125,1
102255_100008_1_tfmr,102255_MANIMJR1_220,100008_KISHENGR_66,220,66,100,0,0.125,1
102255_100008_2_tfmr,102255_MANIMJR1_220,100008_KISHENGR_66,220,66,100,0,0.125,1
102255_100008_3_tfmr,102255_MANIMJR1_220,100008_KISHENGR_66,220,66,100,0,0.125,0
100071_106057_1_tfmr,100071_SEC-32T3_11,106057_CHA_S32_66,11,66,16,0,0.608,0
100085_106095_1_tfmr,100085_L&T11_11,106095_INPH1SPT_66,11,66,16,0,0.625,0
122200_126001_1_tfmr,122200_KOTLA2_220,126001_KOTLA6_66,220,66,63,0,0.1905,1
122902_126002_1_tfmr,122902_BADDI2_220,126002_BADDI6_66,220,66,160,0,0.0781,1
122902_126002_2_tfmr,122902_BADDI2_220,126002_BADDI6_66,220,66,100,0,0.125,1
122203_126004_1_tfmr,122203_UPARNANG_220,126004_UPARNANG_66,220,66,200,0,0.0625,1
132256_13099_1_tfmr,132256_MOHALI-2_220,13099_MOHALSPLT_66,220,66,80,0,0.156,1
132256_13099_2_tfmr,132256_MOHALI-2_220,13099_MOHALSPLT_66,220,66,80,0,0.156,1
132256_13099_3_tfmr,132256_MOHALI-2_220,13099_MOHALSPLT_66,220,66,80,0,0.156,1
132200_136000_1_tfmr,132200_BUTARI_220,136000_BUTARI_66,220,66,100,1e-05,0.15,1
132200_136000_2_tfmr,132200_BUTARI_220,136000_BUTARI_66,220,66,100,1e-05,0.15,1
132201_136001_1_tfmr,132201_DANDHAR1_220,136001_DANDHARIKAL1_66,220,66,100,1e-05,0.15,1
132201_136001_2_tfmr,132201_DANDHAR1_220,136001_DANDHARIKAL1_66,220,66,100,1e-05,0.15,1
132202_136002_1_tfmr,132202_SAHNEWAL_220,136002_SAHNEWAL_66,220,66,100,1e-05,0.15,1
132202_136002_2_tfmr,132202_SAHNEWAL_220,136002_SAHNEWAL_66,220,66,100,1e-05,0.15,1
132202_136002_3_tfmr,132202_SAHNEWAL_220,136002_SAHNEWAL_66,220,66,100,1e-05,0.15,1
132203_136003_1_tfmr,132203_GOBINDGARH-1_220,136003_GOBINDGARH1_66,220,66,100,1e-05,0.15,1
132203_136003_2_tfmr,132203_GOBINDGARH-1_220,136003_GOBINDGARH1_66,220,66,100,1e-05,0.15,1
132203_136003_3_tfmr,132203_GOBINDGARH-1_220,136003_GOBINDGARH1_66,220,66,100,1e-05,0.15,1
132203_136003_4_tfmr,132203_GOBINDGARH-1_220,136003_GOBINDGARH1_66,220,66,100,1e-05,0.15,1
132258_136004_1_tfmr,132258_AMLOHROAD_220,136004_AMLOHROAD_66,220,66,100,1e-05,0.15,1
132258_136004_2_tfmr,132258_AMLOHROAD_220,136004_AMLOHROAD_66,220,66,100,1e-05,0.15,1
132224_136005_1_tfmr,132224_VERPAL_220,136005_VERPAL_66,220,66,100,0,0.15,1
132206_136006_1_tfmr,132206_BAHADURGARH_220,136006_BAHADR_66,220,66,100,1e-05,0.15,1
132206_136006_2_tfmr,132206_BAHADURGARH_220,136006_BAHADR_66,220,66,100,0,0.15,1
132206_136006_3_tfmr,132206_BAHADURGARH_220,136006_BAHADR_66,220,66,100,1e-05,0.15,1
132207_136007_1_tfmr,132207_NAKODAR_220,136007_KOTLAJUNGAN_66,220,66,100,1e-05,0.15,0
132207_136007_2_tfmr,132207_NAKODAR_220,136007_KOTLAJUNGAN_66,220,66,100,1e-05,0.15,0
132208_136008_1_tfmr,132208_KARTARPUR_220,136008_KARTARPUR_66,220,66,100,1e-05,0.15,1
132208_136008_2_tfmr,132208_KARTARPUR_220,136008_KARTARPUR_66,220,66,100,0,0.15,1
132209_136009_1_tfmr,132209_DERABASSI_220,136009_DERABASSI_66,220,66,100,0,0.15,1
132209_136009_2_tfmr,132209_DERABASSI_220,136009_DERABASSI_66,220,66,100,0,0.15,1
132210_136010_1_tfmr,132210_HUMBARAN_220,136010_HUMBRAN1_66,220,66,100,1e-05,0.15,1
132210_136010_2_tfmr,132210_HUMBARAN_220,136010_HUMBRAN1_66,220,66,100,1e-05,0.15,1
132210_136010_3_tfmr,132210_HUMBARAN_220,136010_HUMBRAN1_66,220,66,100,1e-05,0.15,1
132233_136011_1_tfmr,132233_CIVILINE_220,136011_CIVILINE_66,220,66,100,0,0.15,1
132233_136011_2_tfmr,132233_CIVILINE_220,136011_CIVILINE_66,220,66,100,1e-05,0.15,1
132212_136012_1_tfmr,132212_JAGRAON_220,136012_JAGRAON_66,220,66,100,1e-05,0.15,1
132212_136012_2_tfmr,132212_JAGRAON_220,136012_JAGRAON_66,220,66,100,1e-05,0.15,1
132235_136013_1_tfmr,132235_GHUBAYA_220,136013_GHUBAYA_66,220,66,100,0,0.15,1
132235_136013_2_tfmr,132235_GHUBAYA_220,136013_GHUBAYA_66,220,66,50,0,0.3,1
132235_136013_3_tfmr,132235_GHUBAYA_220,136013_GHUBAYA_66,220,66,100,0,0.15,1
132215_136015_1_tfmr,132215_MANSA_220,136015_MANSA_66,220,66,100,1e-05,0.15,1
132215_136015_2_tfmr,132215_MANSA_220,136015_MANSA_66,220,66,100,0,0.15,1
132216_136016_1_tfmr,132216_SUNAM_220,136016_SUNAM_66,220,66,100,1e-05,0.15,1
132216_136016_2_tfmr,132216_SUNAM_220,136016_SUNAM_66,220,66,100,1e-05,0.15,1
132216_136016_3_tfmr,132216_SUNAM_220,136016_SUNAM_66,220,66,100,0,0.15,1
132217_136017_1_tfmr,132217_DHURI_220,136017_DHURI_66,220,66,100,1e-05,0.15,1
132217_136017_2_tfmr,132217_DHURI_220,136017_DHURI_66,220,66,100,0,0.15,1
132217_136017_3_tfmr,132217_DHURI_220,136017_DHURI_66,220,66,100,1e-05,0.15,1
132218_136018_1_tfmr,132218_FATEHGRCHUR_220,136018_FATEHGRCHUR_66,220,66,100,1e-05,0.15,1
132218_136018_2_tfmr,132218_FATEHGRCHUR_220,136018_FATEHGRCHUR_66,220,66,100,1e-05,0.15,1
132219_136019_1_tfmr,132219_KHARAR_220,136019_KHARAR_66,220,66,100,0,0.15,1
132219_136019_2_tfmr,132219_KHARAR_220,136019_KHARAR_66,220,66,100,0,0.15,1
132267_136020_1_tfmr,132267_FEROZPUR_RD_220,136020_FEROZPUR_RD_66,220,66,100,1e-05,0.15,1
132267_136020_2_tfmr,132267_FEROZPUR_RD_220,136020_FEROZPUR_RD_66,220,66,160,0,0.078125,1
132222_136021_1_tfmr,132222_WADALAGRANTH_220,136021_BATLA_66,220,66,100,0,0.15,1
132222_136021_2_tfmr,132222_WADALAGRANTH_220,136021_BATLA_66,220,66,100,0,0.15,1
132223_136023_1_tfmr,132223_BOTIANWALA_220,136023_BOTIANWALA_66,220,66,100,1e-05,0.15,1
132223_136023_2_tfmr,132223_BOTIANWALA_220,136023_BOTIANWALA_66,220,66,100,1e-05,0.15,1
182224_136024_1_tfmr,182224_JALANDHAR-BB_220,136024_JALANDHAR_66,220,66,100,0,0.1483,1
182224_136024_2_tfmr,182224_JALANDHAR-BB_220,136024_JALANDHAR_66,220,66,100,0,0.1483,1
132225_136025_1_tfmr,132225_KOHARA_220,136025_KOHARA_66,220,66,100,1e-05,0.15,1
132225_136025_2_tfmr,132225_KOHARA_220,136025_KOHARA_66,220,66,100,1e-05,0.15,1
132927_136027_1_tfmr,132927_SANGRUR_220,136027_SANGRUR_66,220,66,100,0,0.125,0
132927_136027_2_tfmr,132927_SANGRUR_220,136027_SANGRUR_66,220,66,60,0,0.20833,1
132927_136027_3_tfmr,132927_SANGRUR_220,136027_SANGRUR_66,220,66,45,0,0.2777,1
132927_136027_4_tfmr,132927_SANGRUR_220,136027_SANGRUR_66,220,66,45,0,0.2777,1
182228_136028_1_tfmr,182228_JAMALPUR_220,136028_JAMALPUR_66,220,66,100,0,0.118,1
182228_136028_2_tfmr,182228_JAMALPUR_220,136028_JAMALPUR_66,220,66,100,0,0.118,1
182228_136028_3_tfmr,182228_JAMALPUR_220,136028_JAMALPUR_66,220,66,100,0,0.118,1
182228_136028_4_tfmr,182228_JAMALPUR_220,136028_JAMALPUR_66,220,66,100,0,0.118,0
132229_136029_1_tfmr,132229_RAJPURA_220,136029_RAJPURA_66,220,66,100,1e-05,0.15,1
132229_136029_2_tfmr,132229_RAJPURA_220,136029_RAJPURA_66,220,66,100,0,0.15,1
132230_136030_1_tfmr,132230_JAMSHER_220,136030_JAMSHER_66,220,66,100,1e-05,0.15,1
132230_136030_2_tfmr,132230_JAMSHER_220,136030_JAMSHER_66,220,66,100,1e-05,0.15,1
132234_136034_1_tfmr,132234_HIMMATPURA_220,136034_HIMMATPURA_66,220,66,100,0,0.15,1
132234_136034_2_tfmr,132234_HIMMATPURA_220,136034_HIMMATPURA_66,220,66,100,0,0.15,1
132236_136036_1_tfmr,132236_GOBINDGARH-2_220,136036_GOBINDGARH2_66,220,66,100,1e-05,0.15,1
132236_136036_2_tfmr,132236_GOBINDGARH-2_220,136036_GOBINDGARH2_66,220,66,100,1e-05,0.15,1
132236_136036_3_tfmr,132236_GOBINDGARH-2_220,136036_GOBINDGARH2_66,220,66,100,1e-05,0.15,1
132237_136037_1_tfmr,132237_LALTONKA_220,136037_LALTONKA_66,220,66,100,1e-05,0.15,1
132237_136037_2_tfmr,132237_LALTONKA_220,136037_LALTONKA_66,220,66,100,1e-05,0.15,1
132238_136038_1_tfmr,132238_BAJAKHANA_220,136038_BAZAKHANA_66,220,66,100,0,0.15,1
132238_136038_2_tfmr,132238_BAJAKHANA_220,136038_BAZAKHANA_66,220,66,100,0,0.15,1
132241_136041_1_tfmr,132241_PATRAN_220,136041_PATRAN_66,220,66,100,1e-05,0.15,1
132241_136041_2_tfmr,132241_PATRAN_220,136041_PATRAN_66,220,66,100,1e-05,0.15,1
132241_136041_3_tfmr,132241_PATRAN_220,136041_PATRAN_66,220,66,100,1e-05,0.15,1
132242_136042_1_tfmr,132242_PATIALA-PS_220,136042_ABLOWAL_66,220,66,100,1e-05,0.15,1
132287_136042_2_tfmr,132287_PAT-2_220,136042_ABLOWAL_66,220,66,100,1e-05,0.15,1
132243_136043_1_tfmr,132243_MALERKOTL-PS_220,136043_MALERKOTLA_66,220,66,100,1e-05,0.15,1
132243_136043_2_tfmr,132243_MALERKOTL-PS_220,136043_MALERKOTLA_66,220,66,100,1e-05,0.15,1
132243_136043_3_tfmr,132243_MALERKOTL-PS_220,136043_MALERKOTLA_66,220,66,100,1e-05,0.15,1
13244_136044_1_tfmr,13244_AMLOH_220,136044_AMLOH_66,220,66,100,1e-05,0.15,1
13244_136044_2_tfmr,13244_AMLOH_220,136044_AMLOH_66,220,66,100,0,0.15,1
132245_136045_1_tfmr,132245_RAJLA_220,136045_RAJLA_66,220,66,100,1e-05,0.15,1
132245_136045_2_tfmr,132245_RAJLA_220,136045_RAJLA_66,220,66,100,0,0.15,1
132246_136046_1_tfmr,132246_BARNALA-PS_220,136046_BARNALA_66,220,66,100,0,0.15,1
132246_136046_2_tfmr,132246_BARNALA-PS_220,136046_BARNALA_66,220,66,100,0,0.15,1
132246_136046_3_tfmr,132246_BARNALA-PS_220,136046_BARNALA_66,220,66,100,0,0.15,1
132247_136047_1_tfmr,132247_BATHINDA_220,136047_BHATINDA_66,220,66,100,1e-04,0.15,1
132248_136048_1_tfmr,132248_BAGHAPUR_220,136048_BRAHPURANA_66,220,66,100,1e-04,0.15,1
132249_136049_1_tfmr,132249_KHASSA_220,136049_KHASA_66,220,66,100,1e-04,0.15,1
132249_136049_2_tfmr,132249_KHASSA_220,136049_KHASA_66,220,66,100,1e-04,0.15,1
132250_136050_1_tfmr,132250_MOHALI-1_220,136050_MOHLI_66,220,66,100,1e-05,0.15,1
132250_136050_2_tfmr,132250_MOHALI-1_220,136050_MOHLI_66,220,66,100,1e-05,0.15,1
132250_136050_3_tfmr,132250_MOHALI-1_220,136050_MOHLI_66,220,66,100,1e-05,0.15,1
132251_136051_1_tfmr,132251_MAJITHA_220,136051_MAJITHA6_66,220,66,100,1e-04,0.15,1
132252_136052_1_tfmr,132252_KOTLISURATMA_220,136052_K.S.MAL_66,220,66,100,1e-04,0.15,1
