Generator,Node,Max Capacity,Min Stable Level,Status
GEN_111104_LOWERJHELUM1_132_1,111104_LOWERJHELUM1_132,35,0,1
GEN_111104_LOWERJHELUM1_132_2,111104_LOWERJHELUM1_132,35,0,1
GEN_111104_LOWERJHELUM1_132_3,111104_LOWERJHELUM1_132,35,0,1
GEN_111108_UDAMPUR1_132_1,111108_UDAMPUR1_132,4.6,0,0
GEN_111108_UDAMPUR1_132_2,111108_UDAMPUR1_132,4.6,0,0
GEN_111108_UDAMPUR1_132_3,111108_UDAMPUR1_132,4.6,0,0
GEN_111108_UDAMPUR1_132_4,111108_UDAMPUR1_132,4.6,0,0
GEN_111108_UDAMPUR1_132_5,111108_UDAMPUR1_132,4.6,0,0
GEN_111119_UPPERSIND_132_1,111119_UPPERSIND_132,47,0,0
GEN_111119_UPPERSIND_132_2,111119_UPPERSIND_132,47,0,0
GEN_111119_UPPERSIND_132_3,111119_UPPERSIND_132,35.5,0,1
GEN_111119_UPPERSIND_132_4,111119_UPPERSIND_132,35.5,0,1
GEN_111119_UPPERSIND_132_5,111119_UPPERSIND_132,35.5,0,1
GEN_111129_PAMPORE1_132_1,111129_PAMPORE1_132,25,0,1
GEN_111129_PAMPORE1_132_2,111129_PAMPORE1_132,25,0,1
GEN_111129_PAMPORE1_132_3,111129_PAMPORE1_132,25,0,1
GEN_111129_PAMPORE1_132_4,111129_PAMPORE1_132,25,0,1
GEN_111129_PAMPORE1_132_5,111129_PAMPORE1_132,25,0,1
GEN_111129_PAMPORE1_132_6,111129_PAMPORE1_132,25,0,1
GEN_111129_PAMPORE1_132_7,111129_PAMPORE1_132,25,0,1
GEN_112208_KISHANNGA-GE_220_1,112208_KISHANNGA-GE_220,110,0,1
GEN_112208_KISHANNGA-GE_220_2,112208_KISHANNGA-GE_220,110,0,1
GEN_112208_KISHANNGA-GE_220_3,112208_KISHANNGA-GE_220,110,0,1
GEN_114401_BAGLIHAR4_400_1,114401_BAGLIHAR4_400,150,0,1
GEN_114401_BAGLIHAR4_400_2,114401_BAGLIHAR4_400,150,0,1
GEN_114401_BAGLIHAR4_400_3,114401_BAGLIHAR4_400,150,0,1
GEN_114401_BAGLIHAR4_400_4,114401_BAGLIHAR4_400,150,0,1
GEN_114401_BAGLIHAR4_400_5,114401_BAGLIHAR4_400,150,0,1
GEN_114401_BAGLIHAR4_400_6,114401_BAGLIHAR4_400,150,0,1
GEN_121102_BAJAURA1_132_TH,121102_BAJAURA1_132,4.5,0,1
GEN_121104_MALANA1_132_1,121104_MALANA1_132,43,0,1
GEN_121104_MALANA1_132_2,121104_MALANA1_132,43,0,1
GEN_121105_KANGRA1_132_GJ,121105_KANGRA1_132,10.5,0,1
