Node,Type,Status,Load
100008_KISHENGR_66,1,1,108.703
100009_SEC-47T2_11,1,0,9.776
100010_SEC-47T1_11,1,0,7.079
100011_INDPH1T1_11,1,0,5.346
100012_INDPH1T2_11,1,0,5.001
100013_INDPH1T3_11,1,0,4.312
100014_INDPH1T4_11,1,0,10.52
100016_INPHIIT2_11,1,0,5.324
100017_INPHIIT3_11,1,0,2.904
100018_ITPRKT1_11,1,0,3.62
100019_SEC-56T1_11,1,0,7.591
100020_SEC-56T2_11,1,0,9.616
100021_SEC-52T5_11,1,0,17.839
100022_SEC-52T4_11,1,0,17.839
100023_SEC-52T3_11,1,0,12.272
100025_SEC-52T2_11,1,0,10.88
100026_SEC-52T1_11,1,0,10.88
100029_SEC-52T6_11,1,0,6
100031_SEC-12T1_11,1,0,8.237
100032_SEC-12T2_11,1,0,9.188
100033_SEC-12T3_11,1,0,10.033
100034_SEC-39T1_11,1,0,7.338
100035_SEC-39T2_11,1,0,13.791
100036_SEC-39T3_11,1,0,8.3
100038_SEC-01T1_11,1,0,6.985
100039_SEC-01T2_11,1,0,6.248
100040_SEC-18T1_11,1,0,7.847
100041_SEC-18T2_11,1,0,7.675
100042_SEC-18T3_11,1,0,12.59
100043_MANIMJR1_11,1,0,6.701
100044_MANIMJR2_11,1,0,7.071
100046_RAIPURK_11,1,0,4.5
100047_SRANGPR_11,1,0,4.5
100062_ITPRKT2_11,1,0,7.826
100065_SEC-17_11,1,0,5
100067_SEC-34T1_11,1,0,5.302
100068_RAIPRKLN_11,1,0,4.5
100069_SEC32T1_11,1,0,7.903
100070_SEC32T2_11,1,0,8.299
100071_SEC-32T3_11,1,0,12.349
100075_SEC-28T4_11,1,0,7.158
100076_SEC-28T5_11,1,0,7.416
100077_SEC-28T6_11,1,0,6.64
100078_ITPRKT3_11,1,0,6.882
100079_SARNGPR_11,1,0,3.5
100080_SEC-12T4_11,1,0,5
100081_CIVILT3_11,1,0,5
100085_L&T11_11,1,0,15
100093_INPH2T1_11,1,0,2.453
100098_SEC-12T4_11,1,0,2.957
100099_SEC-12T5_11,1,0,5.597
103072_SEC-28T1_33,1,0,12.636
103073_SEC-28T2_33,1,0,10.757
103074_SEC-28T3_33,1,0,11.786
106050_CHA_S39_66,1,1,54.351
106054_CHA_S28_66,1,1,68.214
106060_CHA_S56_66,1,1,80.151
111006_KATHUA1_132,1,1,69.613
111101_MIRBAZAR_132,1,1,24.096
111102_RAMBAN_132,1,1,10
111103_SHREE_132,1,1,28.864
111104_LOWERJHELUM1_132,1,0,7.411
111105_PATTAN1_132,1,1,57.516
111106_ZAINAKOT_132,1,1,129.408
111107_CHAMASHEHI_132,1,1,53.487
111108_UDAMPUR1_132,1,1,156.52
111109_ARAMGARH_132,1,1,101.021
111110_MAHANPUR_132,1,1,34.803
111111_AULSTENG_132,1,1,363.931
111112_MATTAN_132,1,1,43.296
111113_KATRA1_132,1,1,8.152
111114_JOURIAN1_132,1,1,8.152
111115_TETHAR_132,1,1,43.296
111116_KULGAM_132,1,1,36.077
111117_WANGANPURA1_132,1,1,133.719
111118_BEMINA1_132,1,1,128.369
111119_UPPERSIND_132,1,1,17.116
111120_RAWALPURA1_132,1,1,66.146
111121_AWANTIPURA_132,1,1,101.021
111122_LASSIPORA_132,1,1,57.728
111123_BARN1_132,1,1,71.741
111126_SHOPIAN_132,1,1,5.348
111127_KHANMOH_132,1,1,16.046
111128_HABBAK_132,1,1,102.696
111129_PAMPORE1_132,1,1,136.958
111130_WANPOH1_132,1,1,28.864
111131_KALAKOTE_132,1,1,18.489
111132_JHAJJARKOTL1_132,1,1,38.478
111133_JANIPUR1_132,1,1,40.76
111134_NEWCANAL1_132,1,1,53.801
111135_MERANSAHIB_132,1,1,65.216
111136_BARIBRAHMINA_132,1,1,44.019
111137_GLADINI1_132,1,1,379.888
111138_BADAMPUR_132,1,1,42.789
111139_SAMBA_132,1,1,8.152
111140_HERANAGAR1_132,1,1,216.845
111141_RAJOURI1_132,1,1,41.85
111142_DRABA1_132,1,0,7
111143_CHANDAK1_132,1,1,8.152
111144_BATOT1_132,1,1,8.152
111145_SIDHRA1_132,1,1,8.152
111146_MAGAM_132,1,1,8.561
112202_PAMPORE2_220,1,0,0
112233_BUDGAM_220,1,0,4.536
112239_DELINA_220,1,1,70.786
112240_GLADNI_220,1,1,32.175
121100_DARLAGHA_132,1,1,10.755
121102_BAJAURA1_132,1,1,86.037
121102_BAJAURA1_132,CR,0,0
