node.number,id,status,active.comp.shunt.adm.to.grnd.MW,reactive.comp.shunt.adm.to.grnd.MVAR
13244,C1,1,0,56.799
100009,1,0,0,4.8
100010,1,0,0,4.8
100011,1,0,0,3
100012,1,0,0,3
100013,1,0,0,3
100014,1,0,0,4.8
100016,1,0,0,3
100017,1,0,0,2.4
100018,1,0,0,2.9
100019,1,0,0,2
100020,1,0,0,2
100023,1,1,0,6
100025,1,0,0,5
100031,1,0,0,2.5
100032,1,0,0,2.5
100034,1,0,0,2.5
100035,1,0,0,2.5
100038,1,0,0,2.5
100040,1,0,0,2.5
100043,1,1,0,5.952
100044,1,1,0,5.952
100062,1,0,0,2.9
100069,1,0,0,3
100075,1,0,0,4.8
100093,1,0,0,3
103072,1,0,0,10
103074,1,1,0,10
106055,1,1,0,120
106091,1,1,0,120
111111,1,1,0,160.004
111141,1,1,0,32.256
121102,1,1,0,9.032
121105,1,1,0,10.451
121107,1,1,0,4
121109,1,1,0,0.774
121110,1,1,0,13.031
121112,1,1,0,8.387
121113,1,1,0,47.868
121114,1,1,0,55.48
121115,1,1,0,10.58
121116,1,1,0,34.643
121117,1,1,0,5.161
121118,1,1,0,13.354
121120,1,1,0,7.509
121122,1,1,0,20.579
121123,1,1,0,8.258
121124,1,1,0,39.546
121129,1,1,0,6.322
121131,1,1,0,7.612
121135,1,1,0,11.548
121901,C1,1,0,1.803
122920,1,1,0,5
123003,1,1,0,10
126001,1,1,0,39.8
126002,1,1,0,122.201
131101,C1,1,0,7.312
131102,C1,1,0,7.409
131103,C1,1,0,16.687
131106,C1,1,0,2.511
131107,C1,1,0,12.994
131108,C1,1,0,17.699
131109,C1,1,0,8.466
131111,C1,1,0,42.044
131112,C1,1,0,2.93
131113,1,1,0,9.627
131114,C1,1,0,15.889
131115,C1,0,0,3.309
131116,C1,1,0,2.569
131117,C1,1,0,14.74
131119,C1,1,0,5.851
131121,C1,1,0,7
131122,C1,1,0,22.357
131124,C1,1,0,5.396
131125,C1,1,0,11.699
131127,C1,1,0,7.643
131128,C1,1,0,1.466
131129,C1,1,0,11.796
131130,C1,1,0,10.494
131131,C1,1,0,1.353
131137,C1,1,0,0.902
131138,C1,1,0,7.892
131139,C1,1,0,18.438
131140,C1,1,0,1.997
131141,C1,1,0,1.466
131142,C1,1,0,0.902
131143,C1,1,0,3.239
131144,C1,1,0,21.545
131145,C1,1,0,4.05
131146,C1,1,0,8.457
131148,C1,1,0,15.463
131150,C1,1,0,7.11
131151,C1,1,0,20.27
131152,C1,1,0,2.932
131153,CI,1,0,0.902
131154,C1,1,0,25.349
131155,C1,1,0,3.066
131156,C1,0,0,26.577
131157,C1,0,0,16.573
131158,C1,1,0,0.451
131159,C1,1,0,2.932
131160,C1,1,0,0.902
131161,C1,1,0,13.111
131162,C1,1,0,11.666
131163,C1,1,0,1.466
