node.from.number,node.to.number,id,resistance.pu,reactance.pu,charging.susceptance.pu,ratingA,ratingB,ratingC,node.from.admittance.real.pu,node.from.admittance.imag.pu,node.to.admittance.real.pu,node.to.admittance.imag.pu,status,owner.number1,owner.fraction1,owner.number2,owner.fraction2,owner.number3,owner.fraction3,owner.number4,owner.fraction4,metered.end,length
100075,106096,1,0,1.015,0,10,0,0,0,0,0,0,0,1,0,59,1,NA,NA,NA,NA,NA,NA
102255,182904,1,0.00835,0.04454,0.07668,220,220,0,0,0,0,0,1,2,54,59,1,NA,NA,NA,NA,NA,NA
102255,182904,2,0.00835,0.04454,0.07668,220,220,0,0,0,0,0,1,2,54,59,1,NA,NA,NA,NA,NA,NA
106045,106053,1,0.0931,0.2216,0.00319,12,45,0,0,0,0,0,0,2,25,59,1,NA,NA,NA,NA,NA,NA
106045,106055,1,0.03724,0.08864,0.00128,12,45,0,0,0,0,0,0,1,10,59,1,NA,NA,NA,NA,NA,NA
106045,106061,1,0.0931,0.2216,0.00319,12,45,0,0,0,0,0,0,2,25,59,1,NA,NA,NA,NA,NA,NA
106048,106050,1,0.0094116,0.0224158,0.00033,12,45,0,0,0,0,0,0,2,2.53,59,1,NA,NA,NA,NA,NA,NA
106048,106051,1,0.01862,0.04432,0.00064,12,45,0,0,0,0,0,0,2,5,59,1,NA,NA,NA,NA,NA,NA
106048,106051,2,0.005301,0.0126255,0.00019,12,45,0,0,0,0,0,0,2,1.42,59,1,NA,NA,NA,NA,NA,NA
106048,106051,3,0.0094116,0.0224158,0.00033,12,45,0,0,0,0,0,0,1,2.53,59,1,NA,NA,NA,NA,NA,NA
106048,106052,1,0.02607,0.06205,0.00089,12,45,0,0,0,0,0,0,1,7,59,1,NA,NA,NA,NA,NA,NA
106048,106052,2,0.005301,0.0126255,0.00019,12,45,0,0,0,0,0,0,1,1.42,59,1,NA,NA,NA,NA,NA,NA
106049,106059,1,0.01862,0.04432,0.00064,12,45,0,0,0,0,0,0,2,0,59,1,NA,NA,NA,NA,NA,NA
106050,106051,1,0.01884,0.04485,0.00065,12,45,0,0,0,0,0,1,2,5.13,59,1,NA,NA,NA,NA,NA,NA
106050,106051,2,0.01884,0.04485,0.00065,12,45,0,0,0,0,0,1,2,5.13,59,1,NA,NA,NA,NA,NA,NA
106050,136056,1,0.0192696,0.0458948,0.00067,12,45,0,0,0,0,0,1,1,5.18,59,1,NA,NA,NA,NA,NA,NA
106050,136056,2,0.0192696,0.0458948,0.00067,12,45,0,0,0,0,0,1,1,5.18,59,1,NA,NA,NA,NA,NA,NA
106051,106052,1,0.0182,0.02649,0.00057,12,45,0,0,0,0,0,0,1,2.85,59,1,NA,NA,NA,NA,NA,NA
106051,106052,2,0.0182,0.02649,0.00057,12,45,0,0,0,0,0,0,1,2.85,59,1,NA,NA,NA,NA,NA,NA
106051,106097,1,0.02085,0.04964,0.00071,12,45,0,0,0,0,0,0,1,5.6,59,1,NA,NA,NA,NA,NA,NA
106052,106097,1,0,1e-04,0,12,45,0,0,0,0,0,0,1,0,59,1,NA,NA,NA,NA,NA,NA
106054,106055,1,0.01307,0.01902,0.00041,12,45,0,0,0,0,0,1,1,2.04,59,1,NA,NA,NA,NA,NA,NA
106054,106055,2,0.01307,0.01902,0.00041,12,45,0,0,0,0,0,1,1,2.04,59,1,NA,NA,NA,NA,NA,NA
