owner.number,owner.name
1,INDIA
2,ST-EXISTING
3,PVT-EXISTING
4,CEN-PLAN/UC
5,ST-PLAN/UC
6,PVT-PLAN/UC
7,CEN-PROPOSED
8,ST-PROPOSED
9,PVT-PROPOSED
10,STATEIPP
11,CEN-T
12,CEN-H
13,CEN-N
14,CEN-G
15,2015
20,PAKISTAN
21,STATE-T
22,STATE-H
23,STATE-N
24,STATE-G
25,STATE-R
31,THERMAL
32,IPP-H
34,IPP_G
35,IPPRENEW
50,PLINK-NR
51,SIN-PANTHER
52,SIN-ZEBRA
53,RAJ_STU
54,DEL_STU
55,UP_STU
56,UTKD_STU
57,TW-MOOSE
58,QD-MOOSE
59,CHND_STU
60,QD-BERSIMIS
61,ADANI
62,JKTPL
63,HPPTCL
92,MPPTCL
94,MSETCL
100,EMCO
101,IEPL
111,NTPC
112,NTPC-NR
122,NHPC-NR
131,SJVNL
141,APCPL
151,NLC
161,THDC
171,BBMB
181,NPCIL
182,NPCIL-NR
183,NLC-NR
300,SORANG_IPP
303,ROSA_IPP
304,ADHY_IPP
305,EVEREST
306,JP-KARCH
307,SHRE_CEM
308,ANPARAC
309,BAJAJ_UP
310,LANCO_IPP
369,ESSAR
401,AEGCL
402,APDCL
407,MEPTCL
411,POWERGRID
521,BESCOM
522,GESCOM
523,HESCOM
524,MESCOM
525,CESCOM
541,CHENNAI
542,COIMBATORE
543,ERODE
544,VELLORE
545,TRICHY
546,TIRUNEVELI
547,MADURAI
548,VILLUPURAM
549,PONDY
601,PUNJ_TH
602,HARY_TH
603,RAJA_TH
604,DEL_TH
605,UP_TH
606,UP_HYD
607,UTKD_HYD
608,HP_HYD
609,J&K_HYD
610,PUNJ_HYD
611,UTKD_GAS
612,RAJA_HYD
613,RAJ_WIND
614,UP-COGEN
802,MP_GENCO
1020,HAR_STU
2005,ASSAM_WB
2006,MEGHALAYA_WB
2007,MANIPUR_WB
2008,MIZORAM_WB
2009,NAGALAND_WB
2010,TRIPURA_WB
2201,JHAR_STU_ER
9995,ISTS_WR
9998,INDIA
9999,ODISHAJV/PP
